Spotify ID,Title,Artist,Album,Release Date
2aFg2jORQAQwny1oIivRun,"Killer Killer (From ""Captain Miller"") (Tamil)","Dhanush, G. V. Prakash","Killer Killer (From ""Captain Miller"") (Tamil)",2023-11-22
2HQ6GOCPNCDcC9iOoeucjW,Hayyoda,"Anirudh Ravichander, Priya Mali",Jawan (TAMIL),2023-09-05
1hSbtbX2cVbSyBVqoYHjSj,Mainaru Vetti Katti,"Santhosh Narayanan, Anirudh Ravichander, Dhee","Mainaru Vetti Katti (From ""Dasara"") (Tamil)",2023-03-09
7pxm8y6uLhPFQYwT7zcNNu,TPM Tamil Hits Songs,TPM,TPM Tamil Hits Songs,2023-09-07
00r7XnfuMHUNzfHk18o1XM,Mainaru Vetti Katti,"Santhosh Narayanan, Anirudh Ravichander, Dhee",Dasara (Tamil),2023-04-29
4MtGtuZyHkXVNSPrOQWC2k,"Tamil Christian, Pt.2 (Worship Medley)",Jerushan Amos,"Tamil Christian, Pt.2 (Worship Medley)",2023-06-18
5leYct2ZrUKaq5YWRO3E00,"Tamil Christian (Worship Medley), Pt. 4",Jerushan Amos,"Tamil Christian (Worship Medley), Pt. 4",2023-06-05
0ZDJbUO5QBwFa9x0uMT8JZ,"Tamil Christian (Worship Medley), Pt. 3",Jerushan Amos,"Tamil Christian (Worship Medley), Pt. 3",2023-06-20
3GhBjSV6wifF6UzX3Fg5eQ,Tamil Christian 90s Old Chorus,Jerushan Amos,Tamil Christian 90s Old Chorus,2023-09-01
3lH2RPkpaDvj4aKEeTV6rA,En Rojaa Neeye,Hesham Abdul Wahab,"En Rojaa Neeye (From ""Kushi"") (Tamil)",2023-05-09
4yRV7iwCQzYaOIIs2sPwDK,"Tamil Christian (Worship Medley), Pt.5",Jerushan Amos,"Tamil Christian (Worship Medley), Pt.5",2023-06-05
3yY7JKmADRv4VkLnNgLB1u,Tamil Christmas Medley,Dishon Samuel,Tamil Christmas Medley,2023-12-01
1FEQqp99xeDhPOyio58L2N,Diya,Tamila Gagan,Diya,2023-01-20
6gPQHfQ6lbZuLrfItqVqqH,Aasai Raja - Lofi,"Uma Ramanan, Kamal Eleven",Tamil Lofi Lullabies,2023-04-18
0M7uX0NHHtPgf3mzVN14Cb,Pattampoochi Song,ChuChuTV Tamil,Pattampoochi Song,2023-11-24
2MtnJjetCw1Gpb9WgNK2aO,"Hanuman Chalisa (From ""HanuMan"") [Tamil]","GowraHari, Saicharan Bhaskaruni","Hanuman Chalisa (From ""HanuMan"") [Tamil]",2023-04-06
4lVzdQI5pBH1PKBS6KZ4XS,"Kanguva Glimpse (From ""Kanguva"") (Tamil)","Devi Sri Prasad, Arunraja Kamaraj, Madhan Karky","Kanguva Glimpse (From ""Kanguva"") (Tamil)",2023-07-25
2shVe8Zri85FTjnlwtCs50,"Aaru Kaiyi (From ""Salaar Cease Fire - Tamil"")","Ravi Basrur, Madhurakavi, Kidakuzhi Mariyammal","Aaru Kaiyi (From ""Salaar Cease Fire - Tamil"")",2023-12-29
0ViAwtj1O1KX748ZOJuSa3,"Tamil Christian, Pt. 1(Worship Medley)",Jerushan Amos,"Tamil Christian, Pt. 1(Worship Medley)",2023-06-05
6bVMS2dI7fhZZKLDmzlgIb,Snehithane Snehithane - Afro Pop Remix,"Sadhana Sargam, Srinivas, Ooratti",Tamil Love Vibes - Afro Pop Remix,2023-04-25
4Ac3DwKxivHjjkBgs8oUQt,Velundu Vinaiyillai / Murugan Song / Tamil Devotional,"Keshav Raj's Official, keshav raj",Velundu Vinaiyillai / Murugan Song / Tamil Devotional,2023-04-18
6Bvd45uBy9kIdCJcSTZT2V,"Pathala (From ""Enemy - Tamil"")","Thaman S, Arivu, Deepak Blue",Thaman Beats,2023-03-02
3BP46SUNtyTTJFLvaXtKz2,நூஹ் நபி வரலாறு Tamil Bayan,Tamil Muslim TV,நூஹ் நபி வரலாறு Tamil Bayan,2023-01-21
1d2x8llOU6BPGxKKRASgtO,Thaaliyae Thevaiyillai LoFi Flip,"Bhavatharini, Hariharan, DJ Aftab",Tamil Love LoFi Hits,2023-01-23
7xMNk8JnMddcsLVG5qGwR7,Tamilan,"Anthakudi Ilayaraja, Krishnaraj",Tamilan,2023-04-14
3qYuRbdUVFoBxWFl4DJTdT,Suzume すずめ Tamil,"Kaapi Cats, Anna",Suzume すずめ Tamil,2023-04-21
79jbwGgknCBKjikDDdfSph,Pattasa,"Anirudh Ravichander, Nakash Aziz, Jonita Gandhi, Arivu, Vivek",Jawan (TAMIL),2023-09-05
6lkGBTsRbhnlik5O81f4sU,Unnale Unnale - Afro Pop Remix,"Karthik, Krish, Harini, Ooratti",Tamil Love Vibes - Afro Pop Remix,2023-04-25
368oEOykQ8g2hAzEG9Tuw7,Sad Mashup Tamil (Unplugged),Akash Justin,Sad Mashup Tamil (Unplugged),2023-02-27
5Q63xDvLWUGFjDviHLpn9j,Madai Thiranthu,S. P. Balasubrahmanyam,SPB Rain Melodies (Tamil),2023-07-25
18E6ZN39seAFLCopzLkut6,"Hungry Cheetah (From ""They Call Him OG (Tamil)"")",Thaman S,"Hungry Cheetah [From ""They Call Him OG (Tamil)""]",2023-09-03
0DUHWj9dhstkXk5sgmvuUy,Enna Solla Pogirai - Alvin Bruno Lofi,"Alvin Bruno, Shankar Mahadevan",Tamil Love Vibes - Lofi,2023-04-10
2zS4Qumy8RpeI455Qh0nM1,Ilamai Ennum Poonkaatru,S. P. Balasubrahmanyam,SPB Rain Melodies (Tamil),2023-07-25
32utgUIiT8GbtwsUTqUzFy,"Kalaattaakaaran (From ""King of Kotha (Tamil)"")","Jakes Bejoy, Benny Dayal, Haritha Balakrishnan","Kalaattaakaaran [From ""King of Kotha (Tamil)""]",2023-07-28
6s8ppSgjeyalsDYdD11lcn,Un Paatham Paninthom Official Tamil Devotional Audio Song | Keshavraj Krishnan,Keshav Raj's Official,Un Paatham Paninthom Official Tamil Devotional Audio Song | Keshavraj Krishnan,2023-05-25
0evQdjpLBfJnMgM5d5CcFd,Pogaadhe,"Karthik, Shreyas Puranik, Mohan Rajan",ANIMAL (TAMIL),2023-11-24
6lr9VYRpN9vRpWndTUn4T8,Atrai Thingal Vanidam - Lofi,"Aelo, Sujatha, Madhu Balakrishnan",2K Love Lofis - Tamil,2023-03-13
