name,album,artist,id,release_date,popularity,mood,lyrics_available,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
Choopultho Guchchi,Radha,Ranjith Govind,35jMz6tY4zoKpCC3BX8Hu9,2017-03-09,46,energetic,True,60000,86.53846153846153,0.0013689979142737,0.4784644188255421,1.0,0.0322470963001251,1.0,-18.90729,0.09123056,0.3724150704583484,4,1,7
Rabbit Rabbit Pilla,Radha,Ramee,5ip4jWgx6s112J9Xcqmekx,2017-03-09,20,energetic,True,60000,102.27272727272728,0.0010427963238101,0.2500249955563455,1.0,0.0473352298140525,1.0,-19.987041,0.087770775,0.2621617643952454,8,0,7
Oye Mera Krishuuu,Radha,"Priya Hemesh, Sameera Bharadwaj, Jithin",3LILZO9HWcR8cAUq4Up4zR,2017-03-09,21,energetic,True,60000,114.79591836734694,0.001274211059229,0.3183752575930945,1.0,0.0,1.0,-20.776405,0.10588616,0.2374014109752134,10,0,7
Dhooram,Arjun Reddy,Nikhita Gandhi,6iFZDaeMMYmVUJu7UljN1N,2017-04-30,47,calm,True,60000,152.02702702702703,0.0015720333580549,0.153384623983514,1.0,0.0,1.0,-20.977846145629883,0.0994447320699691,0.2322962773990282,5,1,7
Telisiney Na Nuvvey,Arjun Reddy,L. V. Revanth,6f7qFjos0WWqvtEnwFDS0a,2017-04-30,61,sad,True,60000,61.141304347826086,0.0008751902079362,0.2051788015463917,1.0,0.0109363915398716,1.0,-17.672819137573242,0.0980711281299591,0.2577291861809645,5,1,7
Emitemitemo,Arjun Reddy,Alphonse,3ZasHIQ1l7tCYqxnebFOsK,2017-04-30,58,energetic,True,60000,133.92857142857142,0.001703460514276,0.2178696877499555,1.0,0.0041255415417253,1.0,-16.656558990478516,0.0910104885697364,0.2700662466553582,8,0,7
Madhurame,Arjun Reddy,Sameera Bharadwaj,4sbR8sUkAe6tJTooAQauEe,2017-04-30,56,calm,True,60000,140.625,0.0018646183422929,0.1825031452741735,1.0,0.092242531478405,1.0,-17.00930404663086,0.1169470101594924,0.4334231289242145,2,1,7
Mari Mari,Arjun Reddy,Gowthami,5hT2Bw0BTUEHf2QUdRWPJz,2017-04-30,48,happy,True,60000,125.0,0.0011167861265145,0.1731714709051724,1.0,0.0,1.0,-21.22065162658692,0.0921362936496734,0.2721613056695456,1,0,7
Oopiri Aaguthunnadey,Arjun Reddy,L. V. Revanth,4h4aHOVfrkIHgEe4sKIRre,2017-04-30,51,sad,True,60000,156.25,0.0016164498090373,0.167225045408594,1.0,0.012988107278943,1.0,-21.09002494812012,0.0953996330499649,0.2120707906464687,7,1,7
Gundelonaa,Arjun Reddy,Soujanya Bhagavatula,2QIB7j35j3XFqrAPgZyBI3,2017-04-30,48,calm,False,60000,193.9655172413793,0.0032028787287404,0.1617038915303945,1.0,0.0,1.0,-22.138139724731445,0.1077007353305816,0.2744523579061477,5,1,7
