Spotify ID,Title,Artist,Album,Release Date
4lZCEAwuhT4ukDrtLRHkW9,English Notes,Karthick Iyer,English Notes,2020-02-15
5QFMIca4j83qa0JxJk9eBj,Learn English Podcast: Episode 1 Intro,"English Languagecast, Capn Tuni","Learn English Podcast: Tips for Learning a New Language (Minea Season 1, Episode 1)",2020-12-09
6bY0TgT3pGomzWiOknAwgR,English Bol Ye Sajnma,Pramod Premi Yadav,English Bol Ye Sajnma,2020-01-01
49GToULtsqnxefVsWye6SS,English Hanuman Chalisa (Hanuman 40),Darpan Patel,English Hanuman Chalisa (Hanuman 40),2020-08-01
6HhN3CD5F4lRF4xC9yA0od,"Unravel (From ""Tokyo Ghoul"") - English Version",Geek Music,"Unravel (From ""Tokyo Ghoul"") [English Version]",2020-02-11
7xrq4MXCHy2cu3Ed9K9np0,Shayad - English Rendition,"Pritam, Arjun",Shayad (English Rendition),2020-08-07
22DFcnp1XtirmzGEnzpAyf,English Bol Ye Balamua,Pramod Premi Yadav,English Bol Ye Balamua,2020-07-11
1jTWatzgNbJ3A25GlXkXED,See you Again,Norman Dück,Love and Physics,2020-05-01
4sAwBH0HyQuBP7K7TGvvgf,Astronomia - Coffin Dance Piano Version,Piano Vampire,Astronomia - Coffin Dance Piano Version,2020-04-23
5OJCtnMqWmeGzkTJE3mpYr,Swan Lake,"Pyotr Ilyich Tchaikovsky, HAUSER, London Symphony Orchestra, Robert Ziegler",Classic,2020-02-07
0mD1a7haZKdX9I0oPywrMb,Air on a G String,"Johann Sebastian Bach, HAUSER, London Symphony Orchestra, Robert Ziegler",Classic,2020-02-07
77JAF67yYffIN6cu2ujKw7,What Is This Episode About?,English Languagecast,"Learn English Podcast: Tips for Learning a New Language (Minea Season 1, Episode 1)",2020-12-09
0FyAT4nUMZWJmAI1Qov1Zj,Masquerade (Suite): 1. Waltz - Excerpt,"Aram Khachaturian, London Symphony Orchestra, Stanley Black",Khachaturian: Masquerade (Suite): 1. Waltz [Excerpt],2020-06-19
78ObrGLDjBSE2MhpfgwZt1,LATATA - English Ver.,(G)I-DLE,LATATA (English Ver.),2020-05-15
46Xt2hKFz0R8RiqNPO1ato,Star (Voice English Ver.),LOONA,[12:00],2020-10-19
4UAJf6d48Q6dBzgbC5pjya,Nocturne in C Sharp,"Frédéric Chopin, Robin Smith, HAUSER, London Symphony Orchestra, Robert Ziegler",Classic,2020-02-07
12s9pwzuMlUuJjkkMOLXxx,"I See The Light - From ""Tangled""",Royal Philharmonic Orchestra,Disney Goes Classical,2020-10-02
6WQUV4nrf2uqiEE06MDV6e,Gasoline,Stormxx,English Nightcore,2020-10-08
13GQAPoUkyZTE8oJV3Uy2L,"Beauty and the Beast - From ""Beauty and the Beast""",Royal Philharmonic Orchestra,Disney Goes Classical,2020-10-02
4O3LoftgSXQPmXZynZCAke,Chubby Cheeks,Chimes,English Nursery Rhymes Volume-1,2020-09-29
3yHAVLtQy5ppBbuTUUhrlu,HELICOPTER - English Version,CLC,HELICOPTER,2020-09-02
4viLaKGdHwhW8LkZB3mRFC,I CAN'T STOP ME (English Version),TWICE,I CAN'T STOP ME (English Version),2020-11-30
5kqLPvBEL6NXrs2xxJFy4K,Lacrimosa,"Wolfgang Amadeus Mozart, HAUSER, London Symphony Orchestra, Robert Ziegler",Classic,2020-02-07
2EJbMzocEZ6VHnZKQ8pt8H,Oh my god - English Version,(G)I-DLE,I trust,2020-04-06
