Spotify ID,Title,Artist,Album,Release Date
0hVwGN76vLDsK4aPWjjs0x,Undalaenandhi Naa Kannu,"Shankar-Ehsaan-Loy, Kamal Haasan, Shankar Mahadevan",Vishwaroopam (Telugu) [Original Motion Picture Soundtrack],2012-12-07
67pv42ArSAk6DNEGbO1mkJ,Vaddura Maavaa,"Harris Jayaraj, Naresh Iyer, Velmurugan",OK OK (Telugu) (Original Motion Picture Soundtrack),2012-07-08
3ZK1L4TalPqEzp1pf5jmGY,Kalalaa Oka Devate,"Harris Jayaraj, Karthik",OK OK (Telugu) (Original Motion Picture Soundtrack),2012-07-08
4GwzaBaMFJsOe0KdDz56ri,Lub Dub,"Sundar C. Babu, Suchith Suresan, Rita Thyagarajan",Chaarulatha (Telugu) [Original Motion Picture Soundtrack],2012-09-14
5EHnYB8Ff92SVpxWsGdWjx,Akhilaa Akhilaa,"Harris Jayaraj, Aalaap Raju, Chinmayi, Sharmila",OK OK (Telugu) (Original Motion Picture Soundtrack),2012-07-08
4po3EJfC3QXZoES4WQEwNv,Vishwaroopam,"Shankar-Ehsaan-Loy, Suraj Jagan",Vishwaroopam (Telugu) [Original Motion Picture Soundtrack],2012-12-07
4ibbxfWWujYsM3m5GYMXrT,Jai Kaali Maa,"Sundar C. Babu, Senthil Dass, Reshma",Chaarulatha (Telugu) [Original Motion Picture Soundtrack],2012-09-14
6JLujd7EJZeUfodF5RSuA0,Don Don Don,"Yuvan Shankar Raja, Stefny",Billa 2 (Telugu) (Original Motion Picture Soundtrack),2012-06-03
5RYH5noiyDask9kolEchL9,Yedhalola Nindi - Reprise,"Sreejith - Saachin, Shweta Mohan",Shivani (Telugu) [Original Motion Picture Soundtrack],2012-12-10
3zPy25oSyIsR3ezp0UdnyT,Madiraa Pilla Edurai Illa,"Yuvan Shankar Raja, Andrea Jeremiah",Billa 2 (Telugu) (Original Motion Picture Soundtrack),2012-06-03
2fiA580a7cIrvXlO6qikwp,Arerae Arerae,"Harris Jayaraj, Mukesh, Srimathumitha",OK OK (Telugu) (Original Motion Picture Soundtrack),2012-07-08
6Ty82iFwVZxYq6nfLiO3mX,Vishwaroopam - Remix by Shane Mendonsa,"Shankar-Ehsaan-Loy, Suraj Jagan",Vishwaroopam (Telugu) [Original Motion Picture Soundtrack],2012-12-07
5dNP574fh3QLFQpXvRqrSw,Just Like,"Harris Jayaraj, Aalaap Raju, Hemachandra Vedala, Sunitha Sarathy",OK OK (Telugu) (Original Motion Picture Soundtrack),2012-07-08
5slnC8BxpCFBKIU0hOL9uA,Hari Hara Suthude,N. Jayaram,Sri Ayyappa Bhakthi Maala - Telugu Devotional Songs,2012-02-15
56FzxBaWocPOqBlnhA23op,"Edu Kondalasaami - Govinda, Telugu","Chinmaya Sisters, Sharreth",Appaji 70 (70 Bhajan Compositions of Parama Pujya Sri Ganapathy Sachidananda Swamiji),2012-08-01
0Jo6bnrxN5QLvH9G6HNzR9,Mangalam Jaya Mangalam,R. Vedavalli,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
2AQv1mZszIxbZa7X577HTY,Thupakee Thone Jeevitham,"Shankar-Ehsaan-Loy, Shankar Mahadevan, Benny Dayal",Vishwaroopam (Telugu) [Original Motion Picture Soundtrack],2012-12-07
2XxhSV8wfocJqQ4Jfk4RPg,Anu Vinasa Varshamidhi,"Shankar-Ehsaan-Loy, Kamal Haasan, Nikhil D'Souza",Vishwaroopam (Telugu) [Original Motion Picture Soundtrack],2012-12-07
5mjdRCwPpnYlh3ptEqsAeT,Lakshmee Raave Maa Intiki,R. Vedavalli,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
7AtnBvrkfBsusErqFMggsp,"Datta Datta Anukondam - Dattatreya, Telugu","Dr. Narayanan, Ramesh Vinayakam",Appaji 70 (70 Bhajan Compositions of Parama Pujya Sri Ganapathy Sachidananda Swamiji),2012-08-01
3oYqMsb4BNNphsfStmlDab,Bhagyaada Lakshmee Baarammaa,R. Vedavalli,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
3cIRYTdQlnqyh66WO8xBQs,"Shivuni Gaathale - Shiva, Telugu","Sai Shivani, Ramesh Vinayakam",Appaji 70 (70 Bhajan Compositions of Parama Pujya Sri Ganapathy Sachidananda Swamiji),2012-08-01
4dfViQTFaZKO8tkBUQyJc8,Devi Sree Mahaalakshmi,M. S. Sheela,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
0wUtf1fe86bcn4gSerfjrA,Yedhalona Nindi,"Sreejith - Saachin, Deepak Blue",Shivani (Telugu) [Original Motion Picture Soundtrack],2012-12-10
64EObAc03Hp4a3L3Mdk2dU,Okatava Mettu,Kalluri Muralikrishna,Sri Ayyappa Bhakthi Maala - Telugu Devotional Songs,2012-02-15
4N5Sb8d8YtNEsxDXbogd5u,Edo Edo Oka Maikam,"Yuvan Shankar Raja, Tanvi Shah, Saloni",Billa 2 (Telugu) (Original Motion Picture Soundtrack),2012-06-03
5BzLCSCEaxXlhmjl2ZY8rj,Billa 2 Theme,Yuvan Shankar Raja,Billa 2 (Telugu) (Original Motion Picture Soundtrack),2012-06-03
7GB9Zg51h8FZIE3OXJfkYQ,Ayyappa Saranam,S. P. Balasubrahmanyam,Sri Ayyappa Bhakthi Maala - Telugu Devotional Songs,2012-02-15
5vUmMF3Gc98SIBCo94ZO1e,"Dandaalu Raamayya - Rama, Telugu","Trichur Brothers, Jaitra Varanasi",Appaji 70 (70 Bhajan Compositions of Parama Pujya Sri Ganapathy Sachidananda Swamiji),2012-08-01
3Co9xBsFD5MQmXfEzhJcGi,Varalakshmi Namostute,M. S. Sheela,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
0zKFtmsfD8IqgBRIYK6wbC,Jyothi Darsanam,S. P. Balasubrahmanyam,Sri Ayyappa Bhakthi Maala - Telugu Devotional Songs,2012-02-15
75MppF73Hd85TZ3HLU7hoZ,Gowree Kalyaana,R. Vedavalli,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
6tZwImRlAOGvobAxFq9nQj,Lakshmee Nrisimha Karaavalamba Stotram,M. S. Sheela,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
4cHHzAlTexKkdUwQ8CjbMV,Ayyappa Abhayam,S. P. Balasubrahmanyam,Sri Ayyappa Bhakthi Maala - Telugu Devotional Songs,2012-02-15
2opP3xJXB6G3TxJaOn27Vv,Poojaa Chesthamu Raare,R. Vedavalli,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
5gUcr3FBuMOmBrHeJsgDYQ,Sree Lakshmee Varaaham,M. S. Sheela,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
0UN2KLadpJCUbJqLw9NLTk,Ninnu Jooda Kannulu Veiye,R. Vedavalli,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
1HVSQFNHIbIAIA6WmRcZYn,Sri Varalakshmee Namasthubhyam,R. Vedavalli,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
6HauZaWMndajKAi0NRtO9O,Sri Varalakshmi Vrata Pooja,Shastri,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
4zGGNoaQUYd054udFAljTZ,Mahalakshmee Karunaalasalahari,R. Vedavalli,Varalakshmi Vrata Pooja With Telugu Instructions,2012-01-01
