Spotify ID,Title,Artist,Album,Release Date
67iKrKCvGV1cBMhQSsWOaP,Vande Mataram(Revised Sanskrit To Hindi),Sohail Sen,Khelein Hum Jee Jaan Sey,2010-10-29
1LJzS3TCt2GuTVjUaDAgzQ,"Huppa Huiyya…Jai Bajranga, Jai Jai Hanuman (HINDI)",Swapnil Badodkar,Huppa Huiyya,2010-03-25
1tYNPnvZvjk7CNnO6eyv7M,Deh Shiva Bar Mohey Ehai - With Hindi Voice Over,Chorus,Yug Purush - With Hindi Voice Over -Vol-1,2010-01-06
1E6HidpN8sHfir2dda3dIf,Gayatri Mantra Harmony(Hindi Commentry),Jagjit Singh,Gayatri Mantra-----Jagjit Singh,2010-02-17
7rdBIzN5vwYyc5DOWlp8bM,Mahamrityunjay Mantra With Rhythm Ver 2 With Hindi Commentry,Jagjit Singh,Mahamrutunjaya Mantra,2010-02-27
4s4q534ggD9c4yCsg5T58e,Irada Pakka - Hindi,"Hindol Pendse, Pushkar Mahabal",Irada Pakka,2010-01-31
5Cou1KZGrKOBxoUH4xq7RH,Hari Bhajta Sukh,Shree Swaminarayan Temple Bhuj,Hindi Kirtan,2010
1bN9Ii90qOT86JjfLxrpD9,Mahur Hindi,Nakiroutseki,Belly Dancing Classics,2010-11-15
0yxTvvsfHgWrqO2n7qTZXr,Hum Ihai Kaaj Jagat Mo Aaye - With Hindi Voice Over,"Suhail Kaul, M J Singh",Yug Purush - With Hindi Voice Over -Vol-1,2010-01-06
292uk2KrTX8NonJneKjeb4,Facebook Hindi,Kamal Heer,Facebook Hindi,2010
6SZWMqcfM7bIDLEpZ7ltVY,Hindi,"Ruby, Tony",Opus Quarto,2010-12-27
549IJlh2197hBH343OYhIp,Ready 2 Rock Hindi,"Hawkeye, Battle of the Year",Boty Favorites - 20Th Anniversary,2010-06-18
5RLGkevJB4m8gme46xRTbS,Jaley Hari Thaley Hari With Hindi Voice Over,Gaurav Bangia,Yug Purush - With Hindi Voice Over -Vol-2,2010-01-06
4fYyXkUIczOrOIYBGwcPtY,Rangrel Piya Girdhari,Shree Swaminarayan Temple Bhuj,Hindi Kirtan,2010
22y2k9eEJPtGnZ3UWuXfDN,Jaisi Mein Aavey Khasam Ki Baani - With Hindi Voice Over,Gaurav Bangia,Yug Purush - With Hindi Voice Over -Vol-1,2010-01-06
5Xlz2QlWoKPdNqgFUQeU4L,Hali Jhuli Hindi,Tarun Kuldeep,Sariaa Nani-Put-Koraputiya,2010-06-23
07koZXPPtKxmKwR0XWxXGm,Ha Re Ho Lagi,Shree Swaminarayan Temple Bhuj,Hindi Kirtan,2010
6CyLOGFc9FKD0pT1MCr02l,Chatur Ghanshyamri,Shree Swaminarayan Temple Bhuj,Hindi Kirtan,2010
24Bi9Q2KyWGZLA8tgaVAJF,Hari Tumse Me To Prit Kari,Shree Swaminarayan Temple Bhuj,Hindi Kirtan,2010
1xyOXszDlWydDx4xrNStjg,Teri murti Manohar Shyam,Shree Swaminarayan Temple Bhuj,Hindi Kirtan,2010
3hhAGp0qj4GjJuof0YJuCa,Ankhiya Shyamke Rangrati,Shree Swaminarayan Temple Bhuj,Hindi Kirtan,2010
0A4cTWCilUQ9H0aB66oo8k,Hindi Folk,Marcelo Gallo,The Best of Buddha Lounge,2010-05-10
35XVb3s2VsLzW43EgLhbtv,Hindi,"Kai Panschow, Luis Love, Chase McMorrough",Suspense On 45 Vol.2,2010
5vO2sypDrgal1CsocWUjX0,Hindi Spoken,Tele Music,Global Collective,2010-01-01
4fDkvIVItYkiZQxZVuiZ19,Hindi Na Bale - Minus One,Bugoy Drilon,Bugoy Drilon,2010-01-01
6i41c326R3wQWkpBh2bfrb,Hindi Ko Kayang Limutin Ka,Ruben Tagalog,"O, Pagibig Na Makapangyarihan",2010-03-09
4hqbMNLp1tDYT5CjEnbcO4,Hindi Rice / Brow Sweat,Eshyl,Hip Hop Against Hunger,2010-01-07
7qXaUVk1h2ahvPq4ktjwKW,"Classic Opm Hits Medley: Sa Ugoy Ng Duyan, Hindi Kita Malimot, Saan Ka Man Naroroon",Aiza Seguerra,A First Live in Concert,2010-10-28
1XcmxQDhKf5ZXYakEGOVUQ,Hindi Keeper,Pandora Celtica,Out of the Box,2010-08-31
55yKvrERuI6uAVY4Z3DOGO,Hindi Mo Lang Alam,3 A.M.,3 A.M.,2010-01-01
70aupHiVIO0JryIsz8kZUs,Hinding-Hindi - Ka Magsisisi,Eurasia,Eurasia,2010-03-26
