name,album,artist,id,release_date,popularity,mood,lyrics_available,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
Dil Mangey More,Krishna,"Kunal Ganjawala, Mahalakshmi Iyer",1lpPrODQeDjW88q3VbQhYH,2007-12-27,39,energetic,True,60000,125.0,0.0011250726703862,0.4322564877355137,1.0,0.0,1.0,-18.497084,0.0941145718097686,0.4397314798251,0,1,7
Tu Mera Jil,Krishna,"Udit Narayan, Sadhana Sargam",2IG87gkPzTpf8G4Dz8sucR,2007-12-27,37,happy,True,60000,89.28571428571429,0.0009639251910993,0.3898647184944898,1.0,0.5340017883375394,1.0,-23.693298,0.0943386778235435,0.3481562879953672,7,1,7
Muripinchey,Krishna,"Fareedh, Kousalya",1SKnf0yZ4WtwOEWaEqXdOf,2007-12-27,36,energetic,True,60000,119.6808510638298,0.000996661810011,0.4822853541314877,0.5480434000492096,0.0,1.0,-27.73538,0.0998066067695617,0.4835709472148169,2,1,7
Taratha Etthuku,Krishna,"Raghu Kunche, Kousalya",1V2wdG2kEgA0dJqCTlFCpE,2007-12-27,35,energetic,True,60000,122.28260869565216,0.0009770380856343,0.4685972493778884,1.0,0.0,1.0,-18.656723,0.0846634805202484,0.4161057610692391,9,1,7
Nee Soku Maada,Krishna,Chakri,4znZUt5bYLNVqISxUSkgt4,2007-12-27,38,energetic,True,60000,104.16666666666669,0.0012249018437155,0.3002174613402061,0.7931143045425415,0.0186846291661932,1.0,-22.731018,0.0922628939151763,0.3399591870685211,2,1,7
Adaragottu,Krishna,"Vasu, Sivani",5j0vpt2akAY5OrA5TwB4XQ,2007-12-27,47,energetic,False,60000,83.95522388059702,0.0011856121664477,0.3921407895540792,1.0,0.0006467282727849,1.0,-19.395815,0.0969089418649673,0.3083206603890204,7,1,7
Stylo Stylo,Hudugaata,"Eorge Peetor, Jassie Gift",7JNPrauzIz8KqG1hxUNuQZ,2007-03-04,36,energetic,True,60000,90.7258064516129,0.0008682879032930302,0.4961956416081585,1.0,0.0,1.0,-12.272473335266113,0.08334096521139145,0.49299850347948665,0,1,7
Mandakiniye,Hudugaata,"Jassie Gift, Vasundhara Das",1DGbHe5GluQvbrbDqH0JoL,2007-03-04,41,energetic,True,60000,165.44117647058823,0.0011732323504637927,0.37297969944232134,1.0,0.0,1.0,-16.300851821899414,0.09279464185237885,0.34461008180823216,9,1,7
Are Are Saguthide,Hudugaata,"Naresh Iyer, K. S. Chithra",6LDQDTc0iqJH0FrgXnbd7h,2007-03-04,33,calm,True,60000,110.29411764705883,0.0010999761630613013,0.24390802746178455,1.0,0.04896595446465236,1.0,-14.678265571594238,0.0972919762134552,0.25792410272051697,2,1,7
Ommomme Heegu,Hudugaata,"Aisha Chennai, Jubin",2RFPdGz7RPyoiweAUQdFf5,2007-03-04,35,energetic,True,60000,119.68085106382979,0.0013305808944872812,0.13479548080341272,1.0,0.0,1.0,-15.941174507141113,0.08031804859638214,0.18413575914187277,5,1,7
Istu Janajanara,Hudugaata,"Jassie Gift, Syndhavi",7IJgRq95BascinG3RtMDCx,2007-03-04,33,energetic,True,60000,125.0,0.001476830842602919,0.44839771540615003,1.0,0.48332839364159375,1.0,-19.964351654052734,0.10638205707073212,0.34473000260546477,5,1,7
Yeno Onthara,Hudugaata,"Shaan, Shreya Ghoshal",3g665Wid1WdPiPB4VCzpcW,2007-03-04,43,calm,True,60000,119.68085106382979,0.0010061208748313813,0.30007555948386955,1.0,0.006035000157993551,1.0,-16.982952117919922,0.09887717664241791,0.25943847141066706,2,1,7
Nenapagade,Hudugaata,Chetan Sosca,2nUhKyQVsNJpQg5LopJmR2,2007-03-04,28,sad,True,60000,102.27272727272727,0.0008777508651002317,0.1279303818210096,1.0,0.1615565596200046,1.0,-18.269977569580078,0.10391592234373093,0.1371399291836679,2,1,7
