Spotify ID,Title,Artist,Album,Release Date
0K2CU7TTmFBSbFm1Lt50Sx,"The Karma Theme - Telugu (From ""U Turn"")",Anirudh Ravichander,"The Karma Theme [Telugu (From ""U Turn"")]",2018-09-03
0aL09fbrXMMkMX9JYYmSjZ,Ullaalla - Telugu,Nakash Aziz,Petta (Telugu) [Original Motion Picture Soundtrack],2018-12-20
1Nh7gea2bnOt9i3HQI1JCB,"Massu Maranam - From ""Petta (Telugu)""","Anirudh Ravichander, Mano",Petta (Telugu) [Original Motion Picture Soundtrack],2018-12-20
38ueylzenb5JK5JHDGnWuO,Praaptham - Telugu,"A.R. Rahman, Sid Sriram",Nawab (Original Motion Picture Soundtrack),2018-09-28
7isupIME5Sr6BgyG8TlDVT,Petta Paraak - Telugu,Nakul Abhyankar,Petta (Telugu) [Original Motion Picture Soundtrack],2018-12-20
5QS3Th13URFIspL4H1FfKe,Maari's Aanandhi,"Ananthu, M. M. Manasi, Yuvan Shankar Raja",Maari 2 [Telugu] (Original Motion Picture Soundtrack),2018-12-20
5DhtadiLR9EtuKUF5fRYmP,"Blockbuster (From ""Sarrainodu"")","Shreya Ghoshal, Nakash Aziz, Simha, Sri Krishna, Deepu",Shreya Ghoshal Telugu Hits,2018-03-10
3CYqIsIIhSE4h3KFKcy4sg,"Mallikale Naa Aasala (From ""Mr. Romeo"")","S. P. Balasubrahmanyam, Swarnalatha, Sujatha",Sujatha Telugu Hits,2018-06-22
7494Bdx32XHqwVTF3vdzjr,Aaha Kalyanam - Telugu,Rahul Sipligunj,Petta (Telugu) [Original Motion Picture Soundtrack],2018-12-20
29XQ7HUnk1v2GYFTNsYt3F,"Paruvam Vanaga (From ""Roja"")","S. P. Balasubrahmanyam, Sujatha",Sujatha - Telugu Hits,2018-04-06
2cVGer6jvKnyVJeXBTXojV,Manohari,"Mohana Bhogaraju, L. V. Revanth",Revanth Telugu Hits,2018-03-13
3WN6SWPafko5ljcr2xshkI,Petta Theme - Telugu,Anirudh Ravichander,Petta (Telugu) [Original Motion Picture Soundtrack],2018-12-20
46SStFjfqKWGAzymQ36eHe,Randali,"A.R. Rahman, Blaaze, Arjun Chandy, Nivas, Bhaskar Batla",2.0 (Telugu) [Original Motion Picture Soundtrack],2018-11-06
1d8FzIo9LWDihdJzMH8r7G,Top Tucker - Telugu,Mohit Chauhan,Sarkar (Telugu) [Original Motion Picture Soundtrack],2018-11-02
3ncYxAv0StbBhxZAoIYWJi,Yanthara Lokapu Sundarive,"A.R. Rahman, Sid Sriram, Shashaa Tirupati, Ananth Sriram",2.0 (Telugu) [Original Motion Picture Soundtrack],2018-11-06
5xMuyf3l0pQKqpKA5dy3yW,I Wanna Fly,"L. V. Revanth, Sanjith Hegde, Hiphop Tamizha",Revanth Telugu Hits,2018-03-13
1QKNxlp26fnMVwObuVc9Ox,Chikku Chikku Bandi,"S. P. Balasubrahmanyam, K. S. Chithra",Bappi Da Telugu Hits,2018-02-07
5mrxfqpfkdEuvgQqP3BiIk,"Koosindi (From ""Hitler"")","Mano, Sujatha, Sangeetha, Renuka",Sujatha - Telugu Hits,2018-04-06
68FH2U7DnNQxFyOtfB6LUe,Kaali Theme - Telugu,Anirudh Ravichander,Petta (Telugu) [Original Motion Picture Soundtrack],2018-12-20
4u8znw8pEReCLgUVSgzxE7,"You & Me (From ""Khaidi No 150"")","Hariharan, Shreya Ghoshal",Shreya Ghoshal Telugu Hits,2018-03-10
7exG9nls7SN8xCRrqGvJti,"Pacha Bottasi (From ""Baahubali - The Beginning"")","Karthik, Damini",Karthik Telugu Hits,2018-06-22
04VPiux62BtSsI5K47dtbU,"Padessavae (From ""Akhil-The Power Of Jua"")","Karthik, M.M.Manasi",Karthik Telugu Hits,2018-06-22
3833eWNYwzffEABLZ2JzN6,"Hello Hello (From ""Bhale Bhale Magadivoi"")","Karthik, Chinmayi",Karthik Telugu Hits,2018-06-22
5OerghkmXwFdPVFxYjckHk,Peydhavi Chivarakey,Vijay Prakash,Petta (Telugu) [Original Motion Picture Soundtrack],2018-12-20
