name,album,artist,id,release_date,popularity,mood,lyrics_available,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
Mind Block,Sarileru Neekevvaru,"Blaaze, Ranina Reddy",2u4tXoVHcz1KnkrRVrI638,2020-01-06,40,energetic,True,60000,102.27272727272728,0.0012527260610913,0.1925577813944187,1.0,0.6418708562850952,1.0,-16.484222,0.10241843,0.1883445033902746,7,1,7
Suryudivo Chandrudivo,Sarileru Neekevvaru,B Praak,5OfbqYK6Z3sXs9G5qc8Zrm,2020-01-06,32,calm,True,60000,130.8139534883721,0.0013143842310071,0.356020908782883,1.0,0.0057095377705991,1.0,-17.81038,0.094700634,0.2927394015981447,2,1,7
He’S Soo Cute,Sarileru Neekevvaru,Madhu Priya,0EAPlQTB5Li8fUxX8HGqnV,2020-01-06,40,energetic,True,60000,102.27272727272728,0.0008885312254102,0.3265595664937344,1.0,0.0,1.0,-18.948107,0.098379016,0.2692117312274211,7,1,7
Sarileru Neekevvaru Anthem,Sarileru Neekevvaru,Shankar Mahadevan,1FkOqBLqtRFNKGkClOlbJY,2020-01-06,38,energetic,True,60000,95.33898305084746,0.0015836755026574,0.1462539472149395,1.0,0.0,1.0,-21.472609,0.09619646,0.1917512456134599,0,1,7
Daang Daang,Sarileru Neekevvaru,"Nakash Aziz, Lavita Lobo",5xZIHjJRGykOKL3gAhufV4,2020-01-06,39,energetic,True,60000,137.1951219512195,0.0012463502891374,0.2414184526917436,1.0,0.0155998971313238,1.0,-15.536713,0.09097715,0.3014519351626256,4,1,7
Kitni Haseen Hogi,Hit - The First Case,Arijit Singh,72qwzbbbq5G7nKcIhUkCOf,2022-07-26,28,calm,True,60000,104.16666666666669,0.0015403471349757,0.1128796720860735,0.9846218824386596,0.0,1.0,-23.016775131225582,0.0945910960435867,0.196988219124055,10,0,7
Tinka,Hit - The First Case,Jubin Nautiyal,4CLWXiTJ11z2c7knc7mEBs,2022-07-26,21,calm,True,60000,78.125,0.0013594667653624,0.2158817599093494,1.0,0.0429175719618797,1.0,-15.654115676879885,0.0909242630004882,0.1583214402462021,9,1,7
Kahani Baaki Hai,Hit - The First Case,Divya Kumar,1rVuE47xDTFEtQeLfBSV0r,2022-07-26,13,energetic,True,60000,170.45454545454547,0.0011811009060674,0.2037372175502133,1.0,0.0991465225815773,1.0,-13.851837158203123,0.0939539447426796,0.2465401758912248,5,1,7
Kotthaga Kotthaga,Miss India,"Shreya Ghoshal, Thaman S",6qT016FCR9fW8LswwcvioX,2020-02-07,37,calm,True,60000,78.125,0.0010586160980664,0.2044415194243245,1.0,0.0,1.0,-14.724787712097168,0.0951801910996437,0.2658272014058803,8,0,7
Lacha Gummadi,Miss India,Srivardhani Kuchi,7q82su42LH7iwwh4wJXs6A,2020-02-07,26,energetic,True,60000,90.66611842105264,0.0011078573326891,0.2229781490361358,0.3201744258403778,0.0402988940477371,1.0,-32.018409729003906,0.0809208378195762,0.3087019666976321,5,1,7
Theme Of Miss India,Miss India,"Harika Narayan, Sruthi Ranjani",6NAndQM7IUivDcExlLaxzp,2020-02-07,35,energetic,True,60000,95.33898305084746,0.0011652948169071,0.2793348890752755,1.0,0.0473469272255897,1.0,-15.929890632629396,0.0967344045639038,0.2864466489004241,8,0,7
Naa Chinni Lokkammea,Miss India,"Aditi Bhavaraju, Ramya Behara, Sri Krishna",1E8wbraKN3a7GDvxfMrHk8,2020-02-07,37,calm,True,60000,70.3125,0.0016953436455187,0.2433716644818698,1.0,0.6596758365631104,1.0,-20.358060836791992,0.0912867411971092,0.2437369197434006,8,0,7
Ningi Chutte - Telugu,Uma Maheswara Ugra Roopasya,"Vijay Yesudas, Bijibal",71NQSYsR5ZESF5kw5c5GW6,2020-03-06,33,happy,True,60000,170.45454545454547,0.0013582804221918,0.1515733140497245,1.0,0.0,1.0,-16.426027297973633,0.097855694591999,0.2530947505813214,2,1,7
Dilli Wala,Disco Raja,"Aditya Iyengar, Geetha Madhuri, Rahul Nambiar",6CK8Mq2Rf3Sfh1oQuG1hPC,2019-10-19,30,energetic,True,60000,160.71428571428572,0.0011865500214482,0.3087142146951653,1.0,0.5743858814239502,1.0,-14.771613121032717,0.0881484076380729,0.306286137436101,5,1,7
Rum Pum bum,Disco Raja,"Bappi Lahiri, Ravi Teja",16fCOH8jHkNNciv4qaOimw,2019-10-19,33,energetic,False,60000,59.840425531914896,0.0010744734408683,0.1920561344649839,1.0,0.0,1.0,-20.3966064453125,0.0920910984277725,0.1974901202846671,7,1,7
Freak Out,Disco Raja,Thaman S,1u3L0rCE8LvyihJ8DUpJEa,2019-10-19,37,energetic,False,60000,119.6808510638298,0.001706482410382,0.2261529373944632,0.646362841129303,0.0008825122495181,1.0,-28.0959415435791,0.0808620676398277,0.2510124427222101,0,1,7
Singles Anthem - Telugu,Bheeshma,"Anurag Kulkarni, Mahati Swara Sagar",6OjiOJFa51sGCyBK9qOfFo,2020-02-19,49,energetic,True,60000,130.8139534883721,0.0012001154044188,0.2443033564866246,1.0,0.0036082763690501,1.0,-23.444276809692383,0.0985655039548873,0.219328809094464,8,0,7
Whattey Beauty - Telugu,Bheeshma,"Dhanunjay Seepana, Amala Chebolu, Mahati Swara Sagar",5hP0A7WPiKHmuDizE2Vvcc,2020-02-19,51,energetic,True,60000,80.35714285714286,0.0010247735386601,0.3115014795980714,1.0,0.0,1.0,-18.29471969604492,0.1022415310144424,0.2582447147408687,9,1,7
Sara Sari - Telugu,Bheeshma,"Anurag Kulkarni, Mahati Swara Sagar",5reyXAeNOIusd41ojqfBBq,2020-02-19,43,calm,True,60000,92.21311475409836,0.0014011375956239,0.1913184183922858,1.0,0.0,1.0,-19.47215843200684,0.1080459505319595,0.2110467146160837,7,1,7
Super Cute - Telugu,Bheeshma,"Nakash Aziz, Mahati Swara Sagar",5Y0X2kudA3h4nA2ZdfXn24,2020-02-19,40,energetic,True,60000,127.8409090909091,0.0012303185845806,0.2593180483191877,0.7418946027755737,0.0,1.0,-26.502662658691406,0.0956096351146698,0.2554309018441854,2,1,7
My Love,World Famous Lover,"Ramya Behara, Sri Krishna",0qnLqhUu7oynJwsThfAMR3,2020-01-20,24,happy,False,60000,93.75,0.0011542227638465,0.2429602792836828,1.0,0.05631048604846,1.0,-22.601186752319336,0.0976294130086898,0.2590891966767999,6,0,7
Boggu Ganilo,World Famous Lover,Niranj Suresh,2NHBBigP6qgLegUy7M8QVf,2020-01-20,22,energetic,True,60000,200.8928571428572,0.0019134538817986,0.2503643449497866,0.539326012134552,0.0360637567937374,1.0,-27.195104598999023,0.0979250743985176,0.2553578601002215,5,1,7
Raletti,World Famous Lover,Divya S Menon,6iZIm3yoNhEYMcxWJPls60,2020-01-20,29,sad,False,60000,156.25,0.0011372398558117,0.1914442640752754,0.329169362783432,0.0,1.0,-32.21071243286133,0.1045952290296554,0.2412547701126587,4,1,7
Comosava Paris,World Famous Lover,Benny Dayal,4YkYeDywNka9CjanfPlGWT,2020-01-20,14,energetic,True,60000,96.98275862068964,0.0015354504508608,0.2321674931401084,1.0,0.0,1.0,-17.5760555267334,0.0933038294315338,0.2611215378707769,3,0,7
Manakadha,World Famous Lover,L. V. Revanth,6aLglV87bXiTfGwPTpbf5c,2020-01-20,25,sad,True,60000,117.1875,0.0006904996961522,0.3717572605147973,1.0,0.0245393272489309,1.0,-13.00475788116455,0.0770966783165931,0.3009302604951313,1,0,7
Vastunna Vachestunna - Telugu,V,"Shreya Ghoshal, Amit Trivedi, Anurag Kulkarni",0VMigv7BI8OpP6CRSkyKX6,2020-03-10,54,energetic,True,60000,181.4516129032258,0.0010434969834527,0.2357796981925435,0.7071549892425537,0.0,1.0,-24.915115356445312,0.0990017503499984,0.2115786048143886,4,1,7
Madhuramithe,Nishabdham (Telugu),"Najim Arshad, Harini",0Bmq0ZRFk7uCepmm3A1lr0,2020-01-01,19,calm,False,60000,85.22727272727273,0.0015099639846166,0.2236811546002932,1.0,0.0,1.0,-14.44623565673828,0.0999411642551422,0.3316751095886454,9,1,7
Cello Song - Ee Premante Inthe,Nishabdham (Telugu),Vijay Yesudas,2JdwZBr4mq4Ch1SLbkZRj4,2020-01-01,4,calm,True,60000,144.23076923076923,0.0011281247271589,0.182283566254888,1.0,0.0,1.0,-12.98109531402588,0.0775432214140892,0.2847592328074951,7,1,7
Nee Kanupaapa,Nishabdham (Telugu),Bhadra,3SHokwkZlP82IRuXYf0au4,2020-01-01,13,sad,True,60000,144.23076923076923,0.0016084880056637,0.1437387693576697,1.0,0.0,1.0,-21.7142391204834,0.1157807484269142,0.1828401696896439,11,1,7
Ninne Ninne,Nishabdham (Telugu),Sid Sriram,4GN2a56YbmfdKrjufODcIn,2020-01-01,28,calm,False,60000,104.16666666666669,0.0010721526852091,0.2062389429379221,0.9922940731048584,0.0,1.0,-25.724645614624023,0.1107567548751831,0.2429882659871715,5,1,7
The Guntur Song,Middle Class Melodies,Anurag Kulkarni,7dnhO67Hcn0tGsQTvc3UhP,2020-11-09,18,calm,True,60000,100.44642857142856,0.0015757063910807,0.2753199778372733,0.9313681125640868,0.244502454996109,1.0,-23.500534057617188,0.0973064973950386,0.3000590828206805,2,1,7
Sandhya,Middle Class Melodies,Sweekar Agasthi,3xSttVT3OyJ5hS5adB4eOK,2020-11-09,14,energetic,False,60000,125.0,0.0014896094727249,0.1666999651450853,1.0,0.0,1.0,-21.41010475158692,0.1032998263835907,0.2194697693046265,0,1,7
Keelu Gurram,Middle Class Melodies,"Anurag kulkarni, Sweekar Agasthi, Ramya Behara",5pMvfbeXAf0KViaJpgO6EF,2020-11-09,12,energetic,True,60000,63.20224719101124,0.001205931231922,0.1981661593494489,1.0,0.0095202131196856,1.0,-24.156360626220703,0.1065841913223266,0.3255901890723752,6,0,7
Sambasiva,Middle Class Melodies,Ram Miriyala,2zJH0CwysriKClytXzcmuB,2020-11-09,29,calm,False,60000,119.6808510638298,0.0018027387849158,0.3932950982325364,1.0,0.0108366515487432,1.0,-20.860809326171875,0.0931087359786033,0.3348393629718769,0,1,7
Manchido Cheddadho,Middle Class Melodies,Vijay Yesudas,0qgsLZisygl2CU7AkCcW5f,2020-11-09,24,calm,True,60000,133.92857142857142,0.0012563655142106,0.2007073742445787,1.0,0.7209745645523071,1.0,-17.042631149291992,0.0936136916279792,0.3043145557395979,6,0,7
Vechani Mattilo,Middle Class Melodies,Sweekar Agasthi,2gVR6lBVzeEwVE51YwtJi6,2020-11-09,17,calm,True,60000,133.92857142857142,0.0012563655142106,0.2007073742445787,1.0,0.7209745645523071,1.0,-17.042631149291992,0.0936136916279792,0.3043145557395979,6,0,7
Dil Se Dil,Dirty Hari,Sarathy,5A8EmbdCwgbvSoVsBJ04ol,2020-01-01,5,energetic,True,60000,106.13207547169812,0.0007324607199397,0.1356859474982225,1.0,0.0377829298377037,1.0,-11.227645874023438,0.0887609422206878,0.1670241258913378,4,1,7
Lets Make Love,Dirty Hari,Manisha Eerabathini,157lEAYiRyj8etE0U2Y1P0,2020-01-01,8,calm,True,60000,100.44642857142856,0.0015583401465756,0.2561180963662015,1.0,0.0,1.0,-25.9212703704834,0.0922084674239158,0.2672024488807075,5,1,7
Radhaa,Dirty Hari,Harini Ivaturi,6Tjtbc0ri2rO0hWmTJ48pe,2020-01-01,2,energetic,False,60000,122.28260869565216,0.0008890480842414,0.1784634988502043,1.0,0.0,1.0,-18.84241104125977,0.0851278081536293,0.2029547976480922,2,1,7
