Spotify ID,Title,Artist,Album,Release Date
0jOvwAapEQCLt5CCep2Fro,"Kannadada Honnudi (From ""Ondu Cinema Kathe"")",S. P. Balasubrahmanyam,Top Spb Special Hits,2021-04-03
2n00aU1Lhu0aUeXjvAooM3,Kannada Nadidu,Hemanth Kumar,Kannadamma,2021-12-10
2GjxP57bRHuzU5JKmmZKYn,"Srivalli (From ""Pushpa - The Rise"")(Kannada)","Devi Sri Prasad, Sid Sriram, Varadaraj ChiKrishna Kanthaballapura","Srivalli (From ""Pushpa - The Rise"")(Kannada)",2021-10-13
7gyjWnQvEPgXSOz3mkn5TA,"Oo Anthiya Oo Oo Anthiya (From ""Pushpa - The Rise"")(Kannada)","Devi Sri Prasad, Mangli, Varadaraj ChiKrishna Kanthaballapura","Oo Anthiya Oo Oo Anthiya (From ""Pushpa - The Rise"")(Kannada)",2021-12-10
1PFEPkvrZbjwmYwhctri3J,"Nodamma Hudugi (From ""Premaloka"")","S. P. Balasubrahmanyam, Lata Hamsalekha",Top Kannada Superhits Of 90'S,2021-05-06
2uO9B00o2pZCEYWdvM3lif,"Feel The Power - Kannada (From ""Yuvarathnaa"")","Thaman S, Santhosh Ananddram, Shashank Sheshagiri",Yuvarathnaa (Kannada) [Original Motion Picture Soundtrack],2021-08-04
7aBvUeAtM71xf2NADqivl9,"Saami Saami (From ""Pushpa - The Rise"")(Kannada)","Devi Sri Prasad, Ananya Bhat, Varadaraj ChiKrishna Kanthaballapura","Saami Saami (From ""Pushpa - The Rise"")(Kannada)",2021-10-28
6T0Sr7jVNSD5DiIhflDdYT,"Master Raid Kannada (From ""Master (Kannada)"")","Anirudh Ravichander, Raathee","Master Raid Kannada [From ""Master (Kannada)""]",2021-01-18
1C71nKhX00Vqe9LJ52boil,"Paatashaala (From ""Yuvarathnaa (Kannada)"")","Santhosh Ananddram, Thaman S, Vijay Prakash",Paatashaala,2021-03-03
2aJ1D9UhPrzcs2QIzj3owH,Huttidare Kannada Naadalli Huttabeku,Mysore Xpress,Huttidare Kannada Naadalli Huttabeku,2021-11-01
3OpMxadnm39cRdCfBdpkma,"Eyy Maga Idhu Nan Jagaa (From ""Pushpa - The Rise"")(Kannada)","Devi Sri Prasad, Vijay Prakash, Varadaraj ChiKrishna Kanthaballapura","Eyy Maga Idhu Nan Jagaa (From ""Pushpa - The Rise"")(Kannada)",2021-11-19
2WlZhzlDi8LEULoC8xeKqB,Cake - Kannada,All Ok,Cake (Kannada),2021-02-11
6VrUjrTpZyMsk7kl7S24UD,"Jokke Jokke Meke (From ""Pushpa - The Rise"")(Kannada)","Devi Sri Prasad, Vijay Prakash, Varadaraj ChiKrishna Kanthaballapura","Jokke Jokke Meke (From ""Pushpa - The Rise"")(Kannada)",2021-08-13
0v0uDx0RwZy0G9GXIM1HCF,KELADE NIMAGEEGA (kannadalofi),"DJ Lethal A, S. P. Balasubrahmanyam",KELADE NIMAGEEGA (kannadalofi),2021-12-19
4KPNWB3c3SDVn8vWAV5A2H,Kannadadha Mathu Chenna 2.0 - Remix,Rajkumar,Kannadadha Mathu Chenna 2.0 (Remix),2021-07-23
1jYB4anaFD7kYjeYz8Iybw,Kannada Naadina Ee Nela,Rajkumar,Shri Manjunatha,2021-05-21
7rAsQMLL5dp8pBdFnYqBle,"Kaanada Kadalige (From ""Spandana"")",C. Ashwath,Bannisale Henne - C. Ashwath Kannada Bhavageethegalu,2021-08-12
6ElpsqxGqQycEAhQCe0tx5,Feel The Power,"Thaman S, Santhosh Ananddram, Shashank Sheshagiri","Feel The Power (From ""Yuvarathnaa (Kannada)"")",2021-03-12
1AehTwefWf38KAZ9e8dmCG,"Dumdum Dol (From ""Anjada Gandu"")",S. P. Balasubrahmanyam,Top Kannada Superhits Of 90'S,2021-05-06
4JQvCltz0IVlNhNCaNBg58,"Oorigobba Raaja (From ""Yuvarathnaa (Kannada)"")","Santhosh Ananddram, Thaman S, Puneeth Rajkumar, Ramya Behara",Yuvarathnaa (Kannada) [Original Motion Picture Soundtrack],2021-08-04
7daSiHNtq3l5Okg2AmGUIS,"Ninnannu Nodaligaa (From ""Shokiwala - Kannada"")","V Sridhar Sambhram, Anweshaa, Santhosh Venky, Jayanth Kaikini","Ninnannu Nodaligaa (From ""Shokiwala - Kannada"")",2021-08-20
2lPbELJjtyOMWfR2Jmz5Fz,PREMANAADA (kannadalofi),"DJ Lethal A, K. S. Chithra",PREMANAADA (kannadalofi),2021-07-29
0cOFaWsYdce8kDvgZkiR6B,Master Coming - Kannada,"Anirudh Ravichander, Gaana Balachandar",Master (Kannada) [Original Motion Picture Soundtrack],2021-01-11
4fq20BRjOrfTPixKuV38sD,Kannadavendare,"sai shiv, Keshav Mohankumar, Vishnu M R, Aruna Thyagaraju, Sumanth Manjunath, Rajath Sharma, Chaithrika S, Medha Manjunath",Kannadavendare,2021-10-31
4rilE8L2iuUkFReA55QKUB,MAAYE #kannadalofi,DJ Lethal A,MAAYE #kannadalofi,2021-06-17
7DsklBDnQ179irounrED8S,SANTOSHA #kannadalofi,DJ Lethal A,SANTOSHA #kannadalofi,2021-07-14
7u4lybg5x0xTcBJc0XC92Z,TUNTURU (kannadalofi),DJ Lethal A,TUNTURU (kannadalofi),2021-06-13
2V9QCcJlnpbeML96L5WiHg,Manase Karagada,"Anirudh Ravichander, Mayukh Velagapudi",Master (Kannada) [Original Motion Picture Soundtrack],2021-01-11
52gzSjZMwpnctatZWKwlnL,"Patra Bareyala (From ""Aramane""}","Karthik, Shweta",Kannada Top Hit Songs,2021-04-01
71t3xtTiNWyI66viidxZ9F,"Torture Song (From ""777 Charlie - Kannada"")","Nobin Paul, Vijay Prakash, Nagarjun Sharma","Torture Song (From ""777 Charlie - Kannada"")",2021-09-09
52oiNpAbTSpSmwPbSH4NtR,Kannada Dha Thungabadra,Puttur Narasimha Nayak,Sri Raghavendra Swamy,2021-02-08
15I380rMUYY0Mbdw5nKlyS,MADHURA MOUNA (kannadalofi),DJ Lethal A,MADHURA MOUNA (kannadalofi),2021-06-30
13VFr9tV64ofTytxjUT0e6,THAMPU (kannadalofi),"DJ Lethal A, Sangeetha Katti",THAMPU (kannadalofi),2021-07-22
2szqSCUIoV4xVOKF1VGzY0,"Muddina Gini (From ""Yudha Kaanda"")","S. P. Balasubrahmanyam, S. Janaki",Top Kannada Superhits Of 90'S,2021-05-06
6D2M7FkTog4VG79bFFaQD7,"Kudinotave (From ""Parichaya"") - Duet","Shaan, Shreya Ghoshal",Kannada Top Hit Songs,2021-04-01
3jX8P5wIJZO97OJ5J5kI2t,"Ee Kannada Mannanu Maribeda (From ""Solillada Saradara"")",S. P. Balasubrahmanyam,Top Spb Special Hits,2021-04-03
3SWyec1yg30ZpG97z7eVBf,"Ooruddhaara Maadthinantha (From ""Kindarijogi"")","S. P. Balasubrahmanyam, S. Janaki",Top Kannada Superhits Of 90'S,2021-05-06
2m55ev2jc6K4dxP4tbqDys,RCB anthem (kannada),"Rd Tillu, nandhan shetty",RCB anthem (kannada),2021-10-05
2c1Pgooqz9BOx57H6TZCTU,"Nee Naana (From ""Tajmahal""}",Rajesh Krishnan,Kannada Top Hit Songs,2021-04-01
6E8YzesuWnVFu9KRurggYL,"Sole Illa Ninna Haadu (Sad) [From ""Yudha Kaanda""]","S. P. Balasubrahmanyam, S. Janaki",Top Kannada Superhits Of 90'S,2021-05-06
7a1OTPuVvVTUA5yiChota6,"Yaare Neenu Sundara Cheluve (From ""Ranadheera"")","S. P. Balasubrahmanyam, S. Janaki",Top Kannada Superhits Of 90'S,2021-05-06
7fD1M6gb17oUkp1hwORC6S,"Namooralli Chaligaaladalli (From ""Beautiful Manasugalu"")",Vijay Prakash,Kannada Top Hit Songs,2021-04-01
2w1z0LWu5iFePZ4Zf4Qsd7,"Thandanna Thaanana (From ""So Ennire Sobanaennire - Geetha Namana"")","C.M.Narasimhamurthy, Jogila Siddaraju, T.Lakshminarayana",Kannada Janapada Geethegalu,2021-07-14
