Spotify ID,Title,Artist,Album,Release Date
03fzjLAmEIlVMHUfX9zIxo,"Tum Tum (From ""Enemy - Tamil"")","Thaman S, Srivardhani Kuchi, Aditi Bhavaraju, Satya Yamini, Roshini JKV, Tejaswini, Vivek","Tum Tum (From ""Enemy - Tamil"")",2021-09-03
3QTBQtX3MVgktJhoC6Weck,En Tamil,Thishon Vijayamohan,Rap Ceylon Collections,2021-07-14
4qGd8vUjuAP3xHq4tDWdVh,"Tum Tum (From ""Enemy - Tamil"")","Thaman S, Srivardhani Kuchi, Aditi Bhavaraju, Satya Yamini, Roshini JKV, Tejaswini, Vivek",Enemy - Tamil (Original Motion Picture Soundtrack),2021-10-25
1pRHVSjEXuhZf7sEfH3yYS,"Srivalli (From ""Pushpa - The Rise"")(Tamil)","Devi Sri Prasad, Sid Sriram, Viveka","Srivalli (From ""Pushpa - The Rise"")(Tamil)",2021-10-13
397k2vS0xPDxKKVXV46KtV,"Saami Saami (From ""Pushpa - The Rise"")(Tamil)","Devi Sri Prasad, Rajalakshmi Senthiganesh, Viveka","Saami Saami (From ""Pushpa - The Rise"")(Tamil)",2021-10-28
28fPIWqAfqoEEGSb0rA4LZ,"Oo Solriya Oo Oo Solriya (From ""Pushpa - The Rise"")(Tamil)","Devi Sri Prasad, Andrea Jeremiah, Viveka","Oo Solriya Oo Oo Solriya (From ""Pushpa - The Rise"")(Tamil)",2021-12-10
5TLPS84gXIQRMWCpNhIT3V,Thenmerku Tamil - DJ Braha Remix,"Bee Sounds, DJ Braha",Thenmerku Tamil (DJ Braha Remix),2021-03-30
5qD9aQP5emXO9Xi3VdYM07,Macha Macha Tamil Song,Clement,Macha Macha Tamil Song,2021-06-03
0KMXm8jynSKbK2u0iKNGgf,"Odu Odu Aadu (From ""Pushpa - The Rise"")(Tamil)","Devi Sri Prasad, Benny Dayal, Viveka","Odu Odu Aadu (From ""Pushpa - The Rise"")(Tamil)",2021-08-13
0DY2T4yHZ0hvXrtWkG0itF,"Eyy Beta Idhu En Patta (From ""Pushpa - The Rise"")(Tamil)","Devi Sri Prasad, Nakash Aziz, Viveka","Eyy Beta Idhu En Patta (From ""Pushpa - The Rise"")(Tamil)",2021-11-19
229iUrjyjQCpYzQzV5A2tC,"Torture Song (From ""777 Charlie - Tamil"")","Nobin Paul, Gana Balachandar, Madhurakavi","Torture Song (From ""777 Charlie - Tamil"")",2021-09-09
0D7EuKr8DqeJfrSGqTq0Fz,Oor Aayiram Vaanavil,"A.R. Rahman, Vijay Yesudas",99 Songs (Tamil) [Original Motion Picture Soundtrack],2021-03-25
