name,album,artist,id,release_date,popularity,mood,lyrics_available,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
Kala Anuko,Aazaad,"Hariharan, Mahalakshmi Iyer",5bBsWTPchnSLap0QXpn4ST,2004-07-17,39,calm,True,60000,170.45454545454547,0.0011116544126119,0.3124305678990401,1.0,0.0,1.0,-15.627131,0.09965031,0.2724622905256857,9,1,7
Koyila Koyila Koyila,Aazaad,Abhijeet,1KfXa25fPiYpVt5pAWmq3P,2004-07-17,22,energetic,True,60000,106.13207547169812,0.0009914610006774,0.3091906924880021,1.0,0.0257645938545465,1.0,-17.389103,0.08992315,0.3596173404759872,9,1,7
Chemma Chekka Chemma Chekka,Aazaad,"S. P. Balasubrahmanyam, K. S. Chithra, Harini",6ds8c3NhV8yZs6Hl1sKKcK,2004-07-17,29,energetic,True,60000,79.22535211267606,0.0010209282442897,0.1753299413437611,1.0,0.0175731685012578,1.0,-16.295107,0.0898377,0.1682722489170619,0,1,7
So So So Are Sonare,Aazaad,"Udit Narayan, Vasundhara Das",0eB5PHGiLqsZol8h3qZmAG,2004-07-17,22,energetic,True,60000,100.44642857142856,0.0013810198917585,0.3078163708396285,1.0,0.0,1.0,-21.692038,0.113875166,0.2787708004244374,7,1,7
Sudigaalilo,Aazaad,"Hariharan, K. S. Chithra",2t3cTFrBz73i9hM9vFHz59,2004-07-17,29,calm,True,60000,85.22727272727273,0.001153747416695,0.188364950397707,1.0,0.0,1.0,-10.543499,0.10766742,0.2553178075939191,9,1,7
Hay Hay Nayaka Athamma Kodaka,Aazaad,"Sukhwinder Singh, K. S. Chithra",5zdLUsktUEVEGCuzrdXMaQ,2004-07-17,31,energetic,True,60000,152.02702702702703,0.0010287149134032,0.2692555177690632,1.0,0.0,1.0,-13.619443,0.101165794,0.3065921021089023,11,1,7
Kallu Kallu,Bagunnara,Hariharan,2VmBxaAVwgvoh4QlFs3yIp,1998-12-19,7,calm,True,60000,114.79591836734694,0.001117825522361,0.2097847535438144,1.0,0.2814843654632568,1.0,-18.212343215942383,0.0891583263874054,0.2112169474091833,4,1,7
Yama Yamma,Bagunnara,"Udit Narayan, Deepa Narayan",6WLAGPyyK943cglAjD9Vxg,1998-12-19,4,energetic,True,60000,140.625,0.0030240437976052,0.4151015513908638,1.0,0.1341759860515594,1.0,-26.2949447631836,0.0963333621621131,0.2612440943989959,1,0,7
Monna Premincha,Bagunnara,"Mano, Swarnalatha",7B2y910bzNfGjCUCkSpLeP,1998-12-19,21,happy,True,60000,127.8409090909091,0.0009569445862406,0.4221910028494934,1.0,0.0826471894979476,1.0,-18.861297607421875,0.0880732610821724,0.3894853837492929,4,1,7
O Priyathama,Bagunnara,"Unni Krishnan, Harini",7skBPonSVKhDBJ3GoZkUX7,1998-12-19,24,calm,True,60000,96.98275862068964,0.0009084138037859,0.5901845748255865,0.4030848741531372,0.1891067624092102,1.0,-30.032394409179688,0.1016018167138099,0.5575132387242584,3,0,7
