name,album,artist,id,release_date,popularity,mood,lyrics_available,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
Irul Konda Vaanil,Baahubali - The Beginning,"Deepika, M. M. Keeravaani, Karky",4lONyDzTm3VeMaHCOtMVNy,2015-06-24,38,calm,True,60000,100.44642857142856,0.0018435683396601,0.2312995918781105,0.6678984761238098,0.0535693690180778,1.0,-26.662222,0.11178995,0.3217387557596813,9,1,7
Jeeva Nadhi,Baahubali - The Beginning,"Geetha Madhuri, Shweta Raj, M. M. Keeravaani, Karky",0dlylmbx1i1yJM7evUgX5d,2015-06-24,32,sad,True,60000,122.28260869565216,0.0018953081810946,0.1314354010675879,1.0,0.0221059191972017,1.0,-20.070978,0.10784512,0.2713672744959027,2,1,7
Deerane,Baahubali - The Beginning,"Ramya Behara, Deepu, M. M. Keeravaani, Karky",2YxamVhqu4L3TbmntfD8FJ,2015-06-24,40,energetic,True,60000,152.02702702702703,0.0016257484115273,0.174941121578386,1.0,0.0,1.0,-21.454283,0.10553555,0.185100177577542,3,0,7
Siva Sivaya Potri,Baahubali - The Beginning,"Vaikkam Vijaya Lakshmi, Maragadhamani, M. M. Keeravaani, Karky",26riE8VZUl2GPONy6P7FQj,2015-06-24,52,calm,True,60000,98.6842105263158,0.0016634153424947,0.2995630637886597,1.0,0.0,1.0,-14.151239,0.08839367,0.2654981251097338,9,1,7
Pachchai Thee,Baahubali - The Beginning,"Karthik, Damini Bhatla, M. M. Keeravaani, Karky",5MS7h5xLVEGcA2oPd4My3B,2015-06-24,40,calm,True,60000,93.75,0.0010753714922174,0.259181353870423,1.0,0.0,1.0,-19.93051,0.095582366,0.2846659259890656,7,1,7
Manogari,Baahubali - The Beginning,"Haricharan, Mohana, M. M. Keeravaani, Karky",37psH4AIEUGrEo0koGKga8,2015-06-24,59,energetic,True,60000,160.71428571428572,0.0009470337956853,0.2567065334218361,1.0,0.2257188260555267,1.0,-10.408659,0.09697969,0.3094866097268566,4,1,7
Moochile Theeyumaay,Baahubali - The Beginning,"Kailash Kher, M. M. Keeravaani, Karky",6vRFNbIy6c2CMyX8yKlM4Z,2015-06-24,37,energetic,True,60000,102.27272727272728,0.0015213286017608,0.2012632650028883,1.0,0.0624333247542381,1.0,-19.860777,0.09718673,0.212754118331763,10,0,7
Theeranae (English Version),Baahubali - The Beginning,"Ramya Behara, Aditya Iyengar, M. M. Keeravaani, Noel Sean",3tdWng5dR9Da5XdKNgnZNW,2015-06-24,30,energetic,True,60000,77.05479452054794,0.0015094432664084,0.1955867567987913,1.0,0.0,1.0,-19.237677,0.10353957,0.2469586652400765,3,0,7
Beautifull Zindagi,Yevade Subramanyam,"Nikhita Gandhi, Radhan, Vasishta Sharma",6sHaWE4DFAT2jbzNbEWvsA,2015-02-21,20,happy,True,60000,170.45454545454547,0.0013165015156893,0.3077191658982847,1.0,0.0,1.0,-26.40635871887207,0.1034105420112609,0.2558972572622507,9,1,7
Idhera,Yevade Subramanyam,"Mohit Chauhan, Radhan, Ramajogayya Sastry",1FJ9tc1IKwFFC9d3FO4PBF,2015-02-21,42,calm,True,60000,85.22727272727273,0.0013508868080293,0.1390013303190543,1.0,0.0347139909863472,1.0,-21.316972732543945,0.1019630655646324,0.2301918236363796,9,1,7
Nuvvu Nuvvu Kadhu,Yevade Subramanyam,"Ranjith Govind, Ramy, Radhan, Ramajogayya Sastry",73Om5n0pBiIWdLklGnRg2b,2015-02-21,27,sad,True,60000,119.6808510638298,0.0012816313975967,0.2879284134209474,1.0,0.0,1.0,-18.7236270904541,0.0941152274608612,0.2469015646321072,5,1,7
O Kala,Yevade Subramanyam,"Harini, Radhan, Anantha Sreeram",56rb6jzn5kRHLg8pzpL3dQ,2015-02-21,32,calm,True,60000,133.92857142857142,0.0016605102093208,0.1911891011042481,1.0,0.025670712813735,1.0,-18.996681213378903,0.0993490293622016,0.2583544235303756,7,1,7
Yevade Subramanyam,Yevade Subramanyam,"Ramy, Radhan, Ramajogayya Sastry",2yRQcZ7w5q0FokfyDNNCpT,2015-02-21,15,energetic,True,60000,140.625,0.0015092757109622,0.3049154108714006,1.0,0.0,1.0,-14.64390468597412,0.086881011724472,0.2204990000836317,1,0,7
