name,album,artist,id,release_date,popularity,mood,lyrics_available,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
Tere Liye,Veer - Zaara,"Madan Mohan, Lata Mangeshkar, Roop Kumar Rathod, Javed Akhtar",3i11e2jzUtO3jChiFl3v9x,2004-09-18,67,sad,True,60000,98.6842105263158,0.001657107704218,0.1735351215339495,1.0,0.0,1.0,-9.538441,0.0897577553987503,0.2657870475120426,1,0,7
Main Yahaan Hoon,Veer - Zaara,"Madan Mohan, Udit Narayan, Javed Akhtar",3OAFzjwWionh8OfM4kgf2R,2004-09-18,68,sad,True,60000,86.53846153846153,0.0010887054123906,0.1291128972904816,1.0,0.0061070761238904,1.0,-13.831021,0.0927829518914222,0.1713480943900248,6,0,7
Aisa Des Hai Mera,Veer - Zaara,"Madan Mohan, Lata Mangeshkar, Udit Narayan, Gurdas Maan, Pritha Mazumdar, Javed Akhtar",4M7pu2MwyGysZM4deGXueq,2004-09-18,51,happy,True,60000,165.44117647058823,0.0012633075217549,0.2766257352859491,1.0,0.0,1.0,-18.440899,0.0944205373525619,0.3159579313630871,10,0,7
Yeh Hum Aa Gaye Hain Kahaan,Veer - Zaara,"Madan Mohan, Lata Mangeshkar, Udit Narayan, Javed Akhtar",7sSYkaAXRgnzoQYrGgrvlX,2004-09-18,56,calm,True,60000,181.4516129032258,0.0007902923180165,0.1168147364079719,1.0,0.0113387282905353,1.0,-17.051807,0.0930446684360504,0.1381860044689744,5,1,7
Do Pal,Veer - Zaara,"Madan Mohan, Lata Mangeshkar, Sonu Nigam, Javed Akhtar",7fyIuR4aaWb6iltlAoSkxF,2004-09-18,61,sad,True,60000,83.95522388059702,0.0011489739214798,0.2047509262242267,1.0,0.0070953619976019,1.0,-7.5918255,0.0930469185113906,0.2534506350652523,3,0,7
Kyon Hawa,Veer - Zaara,"Madan Mohan, Yash Chopra, Lata Mangeshkar, Sonu Nigam, Javed Akhtar",2cNeEQhITgmjkk5SHd5IXY,2004-09-18,46,calm,True,60000,98.6842105263158,0.0010237272907773,0.1222924952230714,1.0,0.0021764224401456,1.0,-17.932219,0.0918597728013992,0.1341148961896348,6,0,7
Hum To Bhai Jaise Hain,Veer - Zaara,"Madan Mohan, Lata Mangeshkar, Javed Akhtar",1eR6d1EuujPXYHXEKgK6VU,2004-09-18,46,energetic,True,60000,98.6842105263158,0.0010633966387998,0.3403092922369356,0.8451394736766815,0.0585367176789005,1.0,-22.476215,0.0992136970162391,0.350655155445381,7,1,7
Aaya Tere Dar Par,Veer - Zaara,"Madan Mohan, Ahmed Hussain, Mohd. Hussain, Mohammed Vakil, Javed Hussain, Javed Akhtar",7d5Sk1Omu1qfyOPnlPO9d1,2004-09-18,53,calm,True,60000,133.92857142857142,0.0010351370572847,0.2825699910293725,0.9987087547779084,0.0,1.0,-20.895758,0.0904453545808792,0.2704122003562245,3,0,7
Lodi,Veer - Zaara,"Madan Mohan, Lata Mangeshkar, Udit Narayan, Gurdas Maan, Javed Akhtar",5xoZAi6EnVLl94L1OxJtqE,2004-09-18,44,energetic,True,60000,98.6842105263158,0.000829539639829,0.3409185589228581,1.0,0.0,1.0,-13.872217,0.0857050418853759,0.4661686136293513,0,1,7
Tum Paas Aa Rahe Ho,Veer - Zaara,"Madan Mohan, Lata Mangeshkar, Jagjit Singh, Javed Akhtar",4xxI0wbCGoJVjnLGDIucn6,2004-09-18,41,calm,True,60000,90.7258064516129,0.0013683172718603,0.1929669968394507,1.0,0.0,1.0,-15.975174,0.0990449860692024,0.2420872378310871,2,1,7
