Spotify ID,Title,Artist,Album,Release Date
2SpLNGt5wlnmZQAmM9mfZE,Insha Allah - English Version - Bonus Track,Maher Zain,Thank You Allah (French Version),2009-10-30
5XTREzP8i8gM3fWxzrcgzm,Sri Swamiji Speaks in English,Sri Ganapathy Sachchidananda Swamiji,Sri Vishnu Sahasranama Stotra,2009-07-21
2L5WJA8XcCnczIVhujMNcZ,Air On A G String,"Johann Sebastian Bach, Royal Philharmonic Orchestra, Frank Shipway",The Most Relaxing Classical Music In The Universe,2009-01-01
0Ou9woNxpUrBBiDpS5oCJ4,Air on a G String,"Johann Sebastian Bach, Frank Shipway, Royal Philharmonic Orchestra",Pachelbel: Canon in D - Bach: Air on a G String - Handel: Largo from 'Xerxes' - Hallelujah Chorus - Clarke: Trumpet Voluntary,2009-01-01
1tg1HYT3PgQ4pSlxB7AhMA,Nobody (English Version),Wonder Girls,Nobody (English Version),2009-06-29
2IZDaVy6HTSYB2g2VT8tVl,Carmen Suite No. 1: Toreador March,"Georges Bizet, London Festival Orchestra, Alfred Scholz",Classical Blast: The Most Exhilarating Music in the Universe!,2009-01-01
4UVwbnxKEzPGOuAtSEt2ic,Requiem: II. Dies Irae,"Giuseppe Verdi, Sir Colin Davis, London Symphony Chorus, London Symphony Orchestra",Verdi: Requiem,2009-08-24
4Gd6sRU6HvEdWrwQ8xldzk,"Carmen, Opera Suite No. 2: II. Habanera (Act 1)","London Festival Orchestra, Alfred Scholz","Bizet: Carmen, Opera Suite",2009-01-01
0HB6Zuo9S1AWCX5xvzmRGX,Yalla Habibi (English),"Karl Wolf, Rime Salmi, Kaz Money",Nightlife,2009-11-17
5mtbdTX4OkaA5vrghJyh5L,Hungarian Dance No. 1 in G Minor: Allegro molto,"Johannes Brahms, London Festival Orchestra, Alfred Scholz",Brahms: Hungarian Dances 1- 21,2009-01-01
4Vd3XrtbTMUDTT7UYc0o1F,Bluebeard's Castle: VI. Fifth Door - Bluebeard's Vast and Beautiful Kingdom,"Béla Bartók, Valery Gergiev, Elenz Zhidkova, London Symphony Orchestra, Willard White",Bartók: Bluebeard's Castle,2009-07-27
2efsatoWRINqBXizkqvqCu,"Partita No. 1 in B-Flat Major, BWV 825: V. Menuet I & II","Johann Sebastian Bach, Murray Perahia","Bach: Partitas Nos. 1, 5 & 6",2009-08-31
370EYAsWUYOMUtx9cNK5GF,"English Suite No. 2 in A Minor, BWV 807: I. Prelude","Johann Sebastian Bach, Christiane Jaccottet",JS Bach: Complete English Suites for Harpsichord,2009-07-01
2hi3gbmjWWgXlnsSeXT9Bn,Hungarian Dance No. 5 in F Minor: Allegro,"Johannes Brahms, London Festival Orchestra, Alfred Scholz",Brahms: Hungarian Dances 1- 21,2009-01-01
5s4cGAI764DW0ikIVvYD1U,ebullient future - English,ELISA,white pulsation,2009-01-21
1Ou5hskkx2HwMA2goNog9a,"Carmen, Opera Suite No. 1: IV. Aragonaise, Act 4","London Festival Orchestra, Alfred Scholz","Bizet: Carmen, Opera Suite",2009-01-01
00CP7kE1QGqsE6y6msNguC,When I See You Smile,Bad English,Love Songs,2009-01-29
6Ut5AoOFPoPyupcl2i6juD,"Carmen, Opera Suite No. 1: VI. Avec la garde montante, Act 1","London Festival Orchestra, Alfred Scholz","Bizet: Carmen, Opera Suite",2009-01-01
3IE6cmQ6doO4x1hfdv8E9O,I Know You Want Me (Calle Ocho) - More English Radio Edit,Pitbull,I Know You Want Me (Calle Ocho),2009
3BZuH9q3NNvu7hKeXUszSo,"Symphony No. 4 in A Major, Op. 90, MWV N16 ""Italian"": I. Allegro vivace - 1984 Recording","Felix Mendelssohn, London Symphony Orchestra, Claudio Abbado",Mendelssohn: Italian Symphony,2009-01-01
5iR13iv7BPDJxOHXcLDv1y,"Prokofiev: Cinderella, Op. 87, Act 1: No. 12, Spring Fairy","Sergei Prokofiev, André Previn, London Symphony Orchestra","Prokofiev: Cinderella, Op. 87 - Glazunov: Suite from Raymonda, Op. 57a",2009-01-01
5DYyMTiZkxriaZYNg6G8Ae,"Carmen, Opera Suite No. 2: IV. Chanson du Toreador (Act 2)","London Festival Orchestra, Alfred Scholz","Bizet: Carmen, Opera Suite",2009-01-01
4MjIdmGL4yfU0laWujGnyn,"Carmen, Opera Suite No. 1: V. Seguedille, Act 1","London Festival Orchestra, Alfred Scholz","Bizet: Carmen, Opera Suite",2009-01-01
4N7VFXypm88Skyc3Mk36cA,Trumpet Voluntary,"Jeremiah Clarke, Frank Shipway, Royal Philharmonic Orchestra",Pachelbel: Canon in D - Bach: Air on a G String - Handel: Largo from 'Xerxes' - Hallelujah Chorus - Clarke: Trumpet Voluntary,2009-01-01
5MJWrBYRvGdoDYHNP70YaY,"Symphony No. 4 in A Major, Op. 90, MWV N16 ""Italian"": III. Con moto moderato - 1984 Recording","Felix Mendelssohn, London Symphony Orchestra, Claudio Abbado",Mendelssohn: Italian Symphony,2009-01-01
1lIzb9iA5kyCV1bCl9EM7o,"Gloria in D Major, RV 589: I. Gloria in excelsis Deo","Antonio Vivaldi, The English Concert Choir, The English Concert, Trevor Pinnock",Vivaldi: Gloria in D major RV 589,2009-01-01
28RQFtMSNzRLAlXjIjVLsC,The English Patient: Main Title Theme,"Gabriel Yared, Royal Liverpool Philharmonic Orchestra, Carl Davis",Great Movie Themes 2,2009-05-26
0Makcx9MbgTtyPVe9kM4ij,"Carmen, Opera Suite No. 2: III. Nocturne (Aria de Michaela Act 3)","London Festival Orchestra, Alfred Scholz","Bizet: Carmen, Opera Suite",2009-01-01
0IFDMhgaqSVuqCyoFcPNzi,"Carmen, Opera Suite No. 1: III. Intermezzo, Act 3","London Festival Orchestra, Alfred Scholz","Bizet: Carmen, Opera Suite",2009-01-01
7iCcdQxoS1FsQCS6JWrneH,Bohemian Rhapsody,Royal Philharmonic Orchestra,Symphonic Rock,2009-06-15
40Mn8hQox4vyfF2XlDtRgm,Episode 4,Alireza Ghorbani,Kif-e-Engelisi(The English Bag)-Iranian SoundTrack),2009
2jZIyFKDv1JpamvSx0eSgx,Pride & Prejudice -,"Carl Davis, Royal Philharmonic Orchestra","Carl Davis, The World At War",2009-02-16
7rKTBcWkV3GsKBZT6bOrLP,Satisfied - Live,"Michael English, Mark Lowry, Bill Gaither, Wes Hampton",Gaither Vocal Band - Reunion,2009-01-01
3zpBEoWBbFooKX9nQmVPFf,The Planets: Venus,"Gustav Holst, Royal Philharmonic Orchestra",The Most Relaxing Classical Music In The Universe,2009-01-01
6F7ecHn46Jrlwyw7JwiVlV,Livin' On A Prayer,Royal Philharmonic Orchestra,Symphonic Rock,2009-06-15
1edaKnFvz4SagGlOD9umKL,Come Along Now - English Version,"Foivos, Despina Vandi",Greatest Hits 2001-2009,2009-12-21
00LKsykhv7ZXFBPeR33oQD,I Bowed On My Knees - Live,"Michael English, Mark Lowry, Guy Penrod, David Phelps, Bill Gaither",Gaither Vocal Band - Reunion,2009-01-01
6tWg05l8fgCms52XX9qI2C,Berceuse (Arr. For viola and piano),"Frank Bridge, Enikő Magyar, Tadashi Imai",The English Viola,2009-11-17
51hPE3cUalpi1z8aNDHUxR,Every Breath You Take,Royal Philharmonic Orchestra,Symphonic Rock,2009-06-15
