name,album,artist,id,release_date,popularity,mood,lyrics_available,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
Nene Naani Ne,Eega,Madhesh,7mQmv0b1NkfvhPJULcOSuS,2012-03-30,8,energetic,True,60000,81.52173913043478,0.0015961443807703,0.2560525698209207,1.0,0.0374624356627464,1.0,-17.490294,0.09556083,0.2492405669262615,2,1,7
Konchave Konchave,Eega,Sharan,7kowhnz3c9KY5vKLdc3zdx,2012-03-30,16,happy,True,60000,112.5,0.0015710896059778,0.1864390774973338,1.0,0.0286725647747516,1.0,-21.763449,0.09928134,0.1616588053093836,0,1,7
My Name Is Nani,Eega,Kalyan,4GV8NXw1908M8zMmVvoeZO,2012-03-30,6,happy,True,60000,133.92857142857142,0.0013030892365921,0.2617512095071987,1.0,0.0,1.0,-14.722916,0.08810604,0.2569804465857576,7,1,7
Lachhamma,Ishq,"Anoop Rubens, Nithin, Thagubothu Ramesh, Murali",6xWPeINK1wMfuVDpDmykUx,2012-02-03,50,energetic,True,60000,100.44642857142856,0.0012074361326239,0.2354121420080874,1.0,0.0,1.0,-23.283668518066406,0.0834453329443931,0.2315284390078072,4,1,7
Oh Priya Priya,Ishq,"Adnan Sami, Nithya Menon",2Ej4vdkwwBDyE6QfFWaXUF,2012-02-03,63,calm,True,60000,96.98275862068964,0.0014436253058828,0.2991108872311588,1.0,0.0227343346923589,1.0,-18.61117553710937,0.1031963750720024,0.2592206793223635,7,1,7
Sutiga Choodaku,Ishq,"Hari Haran, Saindhavi",2Jf10norKFV2Fvv0AnizCy,2012-02-03,52,calm,True,60000,130.8139534883721,0.0013592401856831,0.1951489006121134,1.0,0.0,1.0,-17.220142364501953,0.1000359952449798,0.2118814790134947,7,1,7
Chinnadhana,Ishq,"Raja Hasan, Anoop Rubens, Sravani",5L6yb0KfkE1pjRbzcyMBo7,2012-02-03,61,energetic,True,60000,95.33898305084746,0.0010155576077241,0.2789638612857714,1.0,0.0,1.0,-15.293954849243164,0.0942209437489509,0.3333339671625282,10,0,7
Edho Edho,Ishq,"Pradeep Vijay, Kalyani Nair",7wrbiXOfjctL8SIby22B6X,2012-02-03,46,calm,True,60000,133.92857142857142,0.0012664120996961,0.2120708054679168,0.7472646236419678,0.0,1.0,-25.538494110107425,0.1071613654494285,0.2379483288966699,10,0,7
Lachhamma Club Mix,Ishq,"Anoop Rubens, Nithin, Thagubothu Ramesh, Murali",2cDqnod2nyK6peyKyuZ1Iv,2012-02-03,43,energetic,True,60000,119.6808510638298,0.0008380817615599,0.3465651245334162,1.0,0.0,1.0,-14.203155517578123,0.0886630862951278,0.3177712825630288,6,0,7
Rachcha,Racha,"Deepu, Chorus",36doZ7By8Xsf0mIWCJUQkm,2012-03-11,38,energetic,True,60000,100.44642857142856,0.0011199483829842,0.4513511834007287,1.0,0.0359835065901279,1.0,-18.80660820007324,0.0798995718359947,0.3904152414512539,5,1,7
Dillaku Dillaku,Racha,"Tippu, Geetha Madhuri",7D4yGSGgtlMECMbm4djH2C,2012-03-11,53,energetic,True,60000,110.29411764705884,0.0012468038572219,0.3642885362046747,1.0,0.0,1.0,-18.334829330444336,0.0941705554723739,0.3855493914312743,4,1,7
Oka Padam,Racha,"Hemachandra Vedala, Malavika",1CYSayuf5Vg15Kk47L1ahU,2012-03-11,47,calm,True,60000,127.8409090909091,0.0009459158522913,0.417445318748889,1.0,0.0,1.0,-16.91025733947754,0.097282089293003,0.4454764621183627,11,1,7
Singareniundhi,Racha,"Sukhwinder Singh, Sahithi",2AmkyM8xlcC9wquoAE3yXH,2012-03-11,38,energetic,True,60000,80.35714285714286,0.0014371754955947,0.3016981008931745,1.0,0.0,1.0,-13.005010604858398,0.1060582995414733,0.3416083035221011,3,0,7
Arare Pasi Manasa,Krishnam Vande Jagadgurum,"Sravana Bhargavi, Narendra Doddapaneni",46qcJjY2KFbwyWw7vC24n6,2012-10-21,31,energetic,True,60000,175.78125,0.0021338572779045,0.2048134151150906,1.0,1.0,1.0,-17.09354019165039,0.1155910342931747,0.2532515456237718,6,0,7
Sai Andri Nanu Sai Antira,Krishnam Vande Jagadgurum,Shreya Ghoshal,5aNnoQUhzlVO4rRMbDcvlp,2012-10-21,59,energetic,True,60000,127.8409090909091,0.0012118623363368,0.2943074876966317,1.0,0.0,1.0,-21.49053001403809,0.1052918285131454,0.2634808033827595,3,0,7
Jaruguthunnaadi,Krishnam Vande Jagadgurum,S. P. Balasubrahmanyam,4ANOYM49HiciQNmMHFWqdy,2012-10-21,41,energetic,True,60000,83.95522388059702,0.0012397167224028,0.1792624019618734,1.0,0.0,1.0,-17.089284896850586,0.0841226056218147,0.2268741530594781,7,1,7
Spicy Spicy Girl,Krishnam Vande Jagadgurum,"Hemachandra Vedala, Sravana Bhargavi",5y5bK1D1bBmutvvdxEu0Ih,2012-10-21,23,energetic,False,60000,110.29411764705884,0.0010046123777831,0.329153723365846,1.0,0.0,1.0,-18.22656440734864,0.1143152639269828,0.3277120575098822,5,1,7
Rangamarthanda,Krishnam Vande Jagadgurum,"Hemachandra Vedala, Raghubabu",0awxA4QYpvwvo4BQD2ouY6,2012-10-21,20,energetic,False,57782,95.33898305084746,0.0011901233046691,0.2910689772517534,1.0,0.0,1.0,-17.72692108154297,0.0983896031975746,0.2722954759415256,0,1,7
Chal Chal Chal,Krishnam Vande Jagadgurum,Johana,50vAuyb4C6ZnqjffuMb4Q2,2012-10-21,21,energetic,True,60000,119.6808510638298,0.0010627470021619,0.2273463016297102,1.0,0.0,1.0,-15.592531204223633,0.1027272343635559,0.2235503796013457,5,1,7
Kvj Theme,Krishnam Vande Jagadgurum,Mani Sharma,4wr30wo46Hyz6zLb74JqLi,2012-10-21,25,energetic,True,60000,119.6808510638298,0.0014427071441248,0.141993853870423,1.0,0.0,1.0,-20.37075424194336,0.0809592083096504,0.1628721493886946,8,0,7
Rajula,Daruvu,Dinesh Kanaga Rathinam,7eyl9pJqvtm3RwKe1odx8Q,2012-04-18,39,energetic,True,60000,140.625,0.0011132850343992,0.3066177991968094,1.0,0.0078952331095933,1.0,-16.770498275756836,0.0865709260106086,0.3449684858998063,9,1,7
Usumalaresay,Daruvu,"Vijay Antony, Janaki Iyer, Emcee Jesz",3NEhorKBjkoTzmTzldTAud,2012-04-18,32,energetic,True,60000,125.0,0.0018632937553666,0.2663016158238535,1.0,0.0,1.0,-21.445289611816406,0.0996376574039459,0.2644699251401084,9,1,7
Nijam Cheppu,Daruvu,"Naresh Iyer, Sangeetha Rajeswaran",1gmmXHEwaxYr1dRv51xjLe,2012-04-18,30,happy,True,60000,130.8139534883721,0.0012015207728012,0.2418046687533327,1.0,0.0,1.0,-18.506988525390625,0.1004993990063667,0.2839662406059745,0,1,7
