Spotify ID,Title,Artist,Album,Release Date
6KCKPQKlcUnETBOtm1hoQV,Jayalakshmi - Telugu Version,Vijay Antony,Bhetaludu (Original Motion Picture Soundtrack),2016-11-06
6rSynygqY6c05V2OxVhWGO,Ladukio - Telugu Version,"Vijay Antony, Yazin Nizar",Bhetaludu (Original Motion Picture Soundtrack),2016-11-06
2g5oD0RV55TaYzqMYgumeg,"Veera Fan - Telugu Version (From ""Fan"")","Vishal-Shekhar, Nakash Aziz, Chaitanya Prasad, Varun Grover","Veera Fan - Telugu Version (From ""Fan"")",2016-03-14
5ISSIHJr0h9w1A1NyC28ib,Nelapuri Gajula O Nelaveni,Prasad,Telugu Folk Dj Songs Vol 8,2016-12-31
099AWiy6aFYGTlQIB31kRY,Meesa Beauty,"Anirudh Ravichander, Ranjith Govind",Remo (Telugu) [Original Motion Picture Soundtrack],2016-11-09
0C4694Mvs5GIMKPRP8b61z,Jaagartha,"Raftaar, Pritam",Dangal - Telugu (Original Motion Picture Soundtrack),2016-11-30
15BkDbwsk7UzyPODd2OYko,Remo Nee Styleki,Anirudh Ravichander,Remo (Telugu) [Original Motion Picture Soundtrack],2016-11-09
4LeuMYtSHFW0qMPjqtx0RU,Discipline,"R.S. Rakthaksh, Pritam",Dangal - Telugu (Original Motion Picture Soundtrack),2016-11-30
1PsjH2j1gmxlV3a04c2tQZ,Love Selfie,"Anirudh Ravichander, Nakash Aziz",Remo (Telugu) [Original Motion Picture Soundtrack],2016-11-09
5sQL0q6wcZ2DVGG7KzlwWE,"Anjali Anjali (From ""Duet"")","A.R. Rahman, S. P. Balasubrahmanyam, K. S. Chithra",Retro Gold Telugu,2016-05-20
3sMiWPbXOL6gZrkPlPbrQc,Kathakaadhey,"Anirudh Ravichander, Ajesh, Srinidhi Venkatesh",Remo (Telugu) [Original Motion Picture Soundtrack],2016-11-09
0V6XoG8tWC7xhUNwYLOGYL,Kollagottey,Anirudh Ravichander,Remo (Telugu) [Original Motion Picture Soundtrack],2016-11-09
4Rc257mgQoPJ25YgaF3gtM,Yededho - Telugu Version,Vijay Antony,Bhetaludu (Original Motion Picture Soundtrack),2016-11-06
5QGQHsWLpTwahpSpI7rmkk,Cheliyaa Cheliyaa,"Hiphop Tamizha,Deepak",Kathakali Telugu (Original Motion Picture Soundtrack),2016-01-08
6qERdmSWHiNH7j2gLxZxDV,Harivarasanam,K. J. Yesudas,Harivarasanam - Ayyappan Telugu Devotional Songs,2016-12-15
5cCCSnlPMhehPlqsUmdEkw,Telugu Thali,Sharada,Desha Bhakthi Geethalu,2016-04-03
1ukIslusjMas3ou89pEpN9,Come Closer - Kathakaadhey Reprise,"Anirudh Ravichander, Inno Genga",Remo (Telugu) [Original Motion Picture Soundtrack],2016-11-09
2jcwr4yI8DPLKQC2XG0Lmy,"Kalame Kammaga Sage (From ""Duet"")","A.R. Rahman, S. P. Balasubrahmanyam",Retro Gold Telugu,2016-05-20
6pUpLjdZM3gmmuFdSo6t2G,Kathakali Whistle,Hiphop Tamizha,Kathakali Telugu (Original Motion Picture Soundtrack),2016-01-08
3SZkx5N5iJWJ4av4ndcEKN,Jaya Hanuma,"Parupalli Ranganath, M.S.Sabitha, M.V.aparna",Hanuman Chalisa Telugu,2016-04-10
6kUk1VLsoBsXxq656smgeU,"Nepade Geetham (From ""Duet"")","A.R. Rahman, S. P. Balasubrahmanyam",Retro Gold Telugu,2016-05-20
1RNv5hvyNc8wuHmjJBwxWc,"Hello Hello Premalekha (From ""Gangmaster"")","A.R. Rahman, S. P. Balasubrahmanyam, K. S. Chithra",Retro Gold Telugu,2016-05-20
4KopUNsvuJcP4I8Qo21GeS,Kanatharama O Hanuma,S. Janaki,Hanuman Chalisa Telugu,2016-04-10
3r7DDyz2fq91voyp21tKWk,Telugu Thalli,Rama Rao,Desha Bhakthi Geethalu,2016-04-03
2TaY62F66DXqLTH4EN6pW9,Sakala Devatha Shakthii,Parupalli Ranganath,Hanuman Chalisa Telugu,2016-04-10
3S4Yk8gvAyQLdCcWJ6BYqG,"Aa Siggu Eggulenthavaracku (From ""Gangmaster"")","A.R. Rahman, Mano, Swarnalatha",Retro Gold Telugu,2016-05-20
5VOd2Ygnfv8jiHj9NLWgRh,"Kila Kilala Kokilala (From ""Gangmaster"")","A.R. Rahman, Mano, Minmini",Retro Gold Telugu,2016-05-20
2yKKVMdkUTAiZZEZBBuR7d,Jathaga Kalisi,Hemachandra Vedala,Kathakali Telugu (Original Motion Picture Soundtrack),2016-01-08
4GNWEhI5Ss8hrCbkxD3OI0,"Misa Misalade Missandam (From ""Gangmaster"")","A.R. Rahman, S. P. Balasubrahmanyam, K. S. Chithra",Retro Gold Telugu,2016-05-20
5pIfITOnSlBWJTjSQZz920,Sakala Devatha Ninnu,Parupalli Ranganath,Hanuman Chalisa Telugu,2016-04-10
0dBBuYf4fWQ3cH0vDwPfTl,Ammaku Prematho Telugu Song,"Gudappan, Sai Madhav",Ammaku Prematho Telugu Song,2016-05-07
2CyQkfaEyhZvM7jiAVZIS6,Senu Kada,Lalitha Prasad,Telugu Folk Dj Songs Vol 8,2016-12-31
627oI5EwahFBe0zLBuRHxr,Enneno Ashalatho,Slashtruman,Rakshana - Telugu Christian Melodies,2016-12-04
2BpvWWRRF4iIvcX37WxhWa,"Suvvi Suvvi Suwala (From ""Pellikanuka"")","M. M. Keeravaani, S. P. Balasubrahmanyam, Malgudi Subha",Retro Gold Telugu,2016-05-20
512THcEIbNRZff52i0mRsr,Kulikostava,Lalitha Prasad,Telugu Folk Dj Songs Vol 8,2016-12-31
3uq091VmXNFnYJiv5dGDYw,Vanne Ladi Joru,Anilkumar,Telugu Folk Dj Songs Vol 8,2016-12-31
