Spotify ID,Title,Artist,Album,Release Date
0B3Z4RjqJ7pieX4oXLYn3P,Goppadira Manishi Puttuka - Telugu,"Vijay Yesudas, Suresh Bobbili",Tholu Bommalata,2019-11-09
24wC6u04QCQgvoCbbZG3z1,Nee maaya val lo,"Ramya Behara, AURORA",Frozen 2 (Telugu Original Motion Picture Soundtrack/Deluxe Edition),2019-11-22
0PRkqf5KFnbvXjTmIL8mn9,Jeevana Chakkram/Nants' Ingonyama,"Shakthisree Gopalan, Lebo M.",The Lion King (Telugu Original Motion Picture Soundtrack),2019-07-19
51RsOzhjcPFrW6yEpTyfnC,Sthuthiyincheda,Yesu Oggu,Samsthuthi (Telugu Christian Songs),2019-02-16
5NBqXk5wDbcxJKUik2sjFb,Konne shashvatham,"Ramya Behara, Alisha Thomas, Deepak Blue, Nakul Abhyankar, Cast of Frozen 2",Frozen 2 (Telugu Original Motion Picture Soundtrack/Deluxe Edition),2019-11-22
4zGoNE3eMe0EE0WPYQFd58,Nene Raja yeppudowthaanu,"Rahul Vellal, Haripriya, Ramu",The Lion King (Telugu Original Motion Picture Soundtrack),2019-07-19
6zv3CzsXyBImjNlhbPDZeM,Ippudante cheppaleni kaani,Deepak Blue,Frozen 2 (Telugu Original Motion Picture Soundtrack/Deluxe Edition),2019-11-22
3tLNQpMNHpy5ewyPcFuBh0,Raa ittu,"Ramya Behara, Sunitha Sarathy",Frozen 2 (Telugu Original Motion Picture Soundtrack/Deluxe Edition),2019-11-22
7kGGM93vyxWLIB4I0o1FY6,Adi Shakti Nirmala Devi,Pt. B. Subramanian,Amruta Varshini (Telugu Bhajans),2019-02-06
0pQaLshmDZdWlRNZH8DAuJ,Hamsa dheevi teeraana,Sunitha Sarathy,Frozen 2 (Telugu Original Motion Picture Soundtrack/Deluxe Edition),2019-11-22
6pEUAhA92RyTsSm3rlSwq0,"Nirmala Mata Rava (Mother Nirmala, Please Come)",Pt. B. Subramanian,Amruta Varshini (Telugu Bhajans),2019-02-06
5O7uCKHGCGGMUGSVwwzo22,Kanule veechenuga nee kosam inn nalu,"Gowtham Baradwaj, Nincy Vincent, L. V. Revanth, Saicharan Bhaskaruni",The Lion King (Telugu Original Motion Picture Soundtrack),2019-07-19
3ItNIzoVDYqANgGG3nPDA4,Andarikante,Yesu Oggu,Samsthuthi (Telugu Christian Songs),2019-02-16
1C8Kn0EHkDCkjSP8VPeDTZ,"Oka Nimisham Aayina (From ""Pellam Tho Panenti"")","Hariharan, Sunitha",Best Of Hariharan Birthday Special Telugu Hit Songs,2019-04-02
60jZrmyxcRfvLqq1gwi5hA,"Sye Sharabha Sye (From ""Sharabha"")",Simha,Oora Mass Telugu Dance Hits,2019-03-22
75Q9cdi082PYylHDdBJrxz,"O Nene O Nuvvani (From ""Kalavaramaye Madhilo"")","Hariharan, Kalpana",Best Of Hariharan Birthday Special Telugu Hit Songs,2019-04-02
5gx1w4yFhjd9aDIL3mzKk8,Nannu Vadili Vellavaa,Nakul Abhyankar,Frozen 2 (Telugu Original Motion Picture Soundtrack/Deluxe Edition),2019-11-22
0YehVbIVQjGZCfVWfVhfMV,Kamala - Telugu,"Vivek - Mervin, Deepak Blue, Sahithi Chaganti",Vijay Sethupathi (Original Motion Picture Soundtrack),2019-11-11
2KdmQyC1xGgUC8DkPvdeXv,"Sami Velisenu Raa (From ""Sharabha"")",Kailash Kher,Kailash Kher Birthday Special Telugu Hits 2019,2019-07-05
